Depth,AC,CAL,CNL,DEN,GR,HAC,ILD,ILM,LLD,LLS,MINV,MNOR,MSFL,SFLU,SP,result
1215.4491,83.2484,8.4697,25.141,2.4332,78.8597,84.7676,7.6594,8.3016,13.2938,11.8653,11.8674,7.5514,11.2736,16.6269,68.0711,油层
1215.4991,82.9038,8.4623,25.2555,2.4312,78.2562,81.0018,7.7391,8.2846,14.4889,12.8225,15.9733,10.364,13.1604,16.7518,67.9043,油层
1215.5491,82.9877,8.4512,25.424,2.4321,77.7613,76.6227,7.8806,8.2062,15.3503,13.5226,18.9134,14.4131,26.3791,16.5449,67.7592,油层
1215.5991,83.5267,8.4405,25.6165,2.4298,77.4265,74.8914,8.0222,8.1217,15.5814,13.9227,19.2668,17.5324,33.5137,16.0315,67.6327,油层
1215.6491,84.9603,8.4317,25.8779,2.425,77.717,76.4205,8.138,8.0995,15.3663,13.8657,17.4893,17.5819,37.817,14.8383,67.5195,油层
1215.6991,86.2804,8.4232,26.1824,2.4158,77.9918,79.8691,8.2623,8.0774,14.6658,13.44,14.7041,16.3874,43.7502,13.2738,67.4127,油层
1215.7491,88.0909,8.4154,26.5493,2.4202,78.5199,86.3965,8.3972,8.0516,13.7131,12.8199,12.153,13.9391,45.7215,11.9989,67.3044,油层
1215.7991,89.2338,8.4113,26.9694,2.4184,79.1146,90.6014,8.5378,8.0931,12.488,11.9341,9.7369,11.8207,33.4463,10.724,67.1863,油层
1215.8491,90.6342,8.4079,27.3754,2.4089,79.6104,94.2003,8.6544,8.2235,11.2785,11.0174,8.2661,9.249,26.5725,9.856,67.0513,油层
1215.8991,91.7368,8.4059,27.7879,2.3894,79.8956,95.4871,8.7744,8.3776,10.1674,10.1337,7.4015,7.687,21.6693,8.9881,66.8935,油层
1215.9491,93.573,8.4065,28.1669,2.3694,80.0146,96.1939,8.8414,8.5439,9.1352,9.3203,6.6166,6.8411,15.6867,8.8252,66.7094,油层
1215.9991,95.0971,8.4101,28.4954,2.3481,80.5812,96.5997,8.8744,8.7102,8.3277,8.603,6.3437,6.0441,12.0345,8.8618,66.4984,油层
1216.0491,97.2698,8.4138,28.806,2.3241,81.3316,97.344,8.9119,8.8725,7.9116,8.1993,6.2299,5.9086,11.0646,9.2049,66.2629,油层
1216.0991,98.8079,8.4192,29.0352,2.3047,81.7883,98.2009,8.9452,9.0347,7.7713,7.9893,7.1053,5.6139,11.1773,9.8329,66.0083,油层
1216.1491,100.4115,8.4263,29.1732,2.2932,82.2738,99.8379,8.9867,9.1401,7.9126,8.002,8.1745,6.2252,11.7532,10.512,65.7428,油层
1216.1991,101.106,8.4311,29.2226,2.2833,82.3585,101.1198,8.9546,9.2776,8.3052,8.2529,8.8922,7.1993,11.9806,11.137,65.4764,油层
1216.2491,101.1657,8.433,29.1598,2.276,82.1098,102.1631,8.9391,9.348,9.1102,8.8356,8.8943,8.0083,12.5534,11.7534,65.221,油层
1216.2991,100.9773,8.4367,29.0165,2.2687,81.8884,102.2666,8.894,9.3655,10.1038,9.6244,8.6335,7.9903,13.6447,12.2475,64.9883,油层
