Depth,AC,CAL,CNL,DEN,GR,MINV,MNOR,R045,R4,RILD,RILM,RLL8,RLLD,RLLS,RPRX,SP,result
1321.71875,99.096,9.513,26.9525,2.1598,84.9578,4.6835,5.9737,5.9813,3.4172,4.7296,4.3507,8.2528,8.7678,8.2496,23.4618,74.4497,水层
1321.75,99.196,9.5587,27.0726,2.163,85.347,4.7209,5.9986,5.8411,3.3769,4.6762,4.3336,8.2987,8.7839,8.2496,23.4588,74.6009,水层
1321.78125,99.316,9.6097,27.1686,2.1656,84.7746,4.7456,6.0489,5.7013,3.3106,4.6235,4.3009,8.3294,8.7839,8.28,23.3707,74.7143,水层
1321.8125,99.456,9.6504,27.2646,2.1682,83.8004,4.7444,6.0864,5.6124,3.2706,4.6059,4.2922,8.3757,8.7839,8.28,23.153,74.8657,水层
1321.84375,99.556,9.6861,27.3606,2.1714,82.8253,4.7566,6.1365,5.5238,3.2048,4.5622,4.2754,8.4223,8.7838,8.2647,22.8526,75.0043,水层
1321.875,99.676,9.7167,27.4206,2.174,82.0935,4.7939,6.1613,5.4734,3.1779,4.5449,4.2665,8.4535,8.7514,8.2494,22.5986,75.1556,水层
1321.90625,99.796,9.7475,27.5286,2.1768,81.1175,4.793,6.1604,5.4486,3.1505,4.4765,4.258,8.5005,8.7191,8.2038,22.2642,75.3322,水层
1321.9375,99.8759,9.768,27.5526,2.18,80.4677,4.8177,6.172,5.3986,3.1484,4.451,4.2573,8.5163,8.6869,8.1434,21.976,75.4708,水层
1321.96875,99.9959,9.7885,27.6126,2.183,79.6529,4.8167,6.1713,5.3738,3.1848,4.4172,4.2563,8.5478,8.6389,8.1134,21.5709,75.5968,水层
1322.0,100.0758,9.8142,27.6125,2.185,79.1615,4.7904,6.183,5.3616,3.2725,4.3836,4.2557,8.5795,8.5753,8.0388,21.2128,75.7355,水层
1322.03125,100.2358,9.8651,27.6124,2.1816,78.5881,4.7129,6.1821,5.3369,3.3347,4.3668,4.2549,8.5794,8.5122,8.0091,21.0544,75.8358,水层
1322.0625,100.2958,9.9058,27.6724,2.1782,78.257,4.6352,6.1429,5.338,3.422,4.3418,4.2539,8.532,8.434,7.9209,21.3659,75.9487,水层
1322.09375,100.3757,9.9466,27.7324,2.1744,78.1654,4.5578,6.1037,5.3262,3.4969,4.325,4.2532,8.4691,8.3873,7.8771,21.1672,75.998,水层
1322.125,100.4156,9.9772,27.8404,2.1718,78.8743,4.4543,6.0774,5.289,3.584,4.308,4.2524,8.3601,8.3103,7.8336,20.6623,76.0472,水层
1322.15625,100.4154,10.0129,27.9485,2.1686,79.5841,4.4024,6.051,5.2894,3.6339,4.2995,4.2516,8.2069,8.2643,7.8047,20.3572,76.058,水层
1322.1875,100.4353,10.0385,28.1405,2.1654,80.2147,4.3247,5.973,5.2907,3.7087,4.2827,4.2511,8.0863,8.1883,7.7759,19.8714,76.0301,水层
