Depth,CAL,CGR,DRHO,DT,GR,ILD,ILM,LLD,LLS,MRES,MSFL,MTEM,NPHI,PEF,POTA,RHOB,SFLU,SGR,SP,THOR,TT1,TT2,TT3,TT4,URAN,result
1665.78125,8.3715,58.5123,0.02,81.544,116.0836,7.4036,6.8479,9.2318,9.2995,0.948,9.2497,67.2557,0.1508,3.1053,0.0264,2.4146,10.7205,119.6081,-47.4979,5.222,532.6954,375.2548,539.8632,385.6169,8.6995,差油层
1669.625,8.1856,36.3215,0.0108,67.9403,76.4271,16.3343,17.3738,26.8046,24.5582,0.9413,28.4885,67.9904,0.1518,3.2177,0.0173,2.5218,36.1024,70.3494,-54.388,2.7455,480.1595,348.2546,481.3493,343.8558,4.7691,干层
1669.65625,8.1782,38.266,0.0142,68.5216,82.4342,16.1865,16.9686,24.0303,22.4213,0.9413,24.6701,68.0041,0.1378,3.257,0.019,2.5139,33.8187,74.7207,-53.4429,2.6559,480.1919,348.2546,483.7789,343.8763,5.1217,干层
1669.6875,8.167,40.2115,0.0177,69.2231,85.8509,16.0692,16.3635,21.7801,20.7333,0.938,20.7498,68.0041,0.1238,3.2963,0.0206,2.5103,30.9406,79.0936,-52.5757,2.6701,481.0303,348.6914,487.0057,344.3073,5.4745,干层
1669.71875,8.1597,42.3474,0.0211,69.644,90.5627,15.8661,15.9238,19.526,19.3479,0.938,15.9617,68.0041,0.1175,3.2404,0.0216,2.5123,28.4621,84.2316,-52.1028,2.8404,481.4583,349.5414,491.8384,345.547,5.8927,干层
1669.75,8.1529,44.6106,0.0239,70.1855,94.9804,15.5241,15.3282,18.2211,18.1542,0.938,12.9212,68.0041,0.1113,3.121,0.0221,2.5143,25.1573,89.8806,-51.3936,3.2302,482.6922,349.9576,495.0534,345.9779,6.3547,干层
1669.78125,8.1529,46.6645,0.0264,70.6471,100.104,15.0796,14.542,17.0963,17.0652,0.9388,10.3274,68.0041,0.1077,3.0082,0.0224,2.5188,23.0164,95.2413,-50.6451,3.6984,483.935,351.6019,498.2772,347.6133,6.8082,干层
1669.8125,8.1534,47.8793,0.0285,70.9484,104.8162,14.5419,13.8968,16.1297,15.7811,0.9388,8.9269,68.0041,0.1042,2.9221,0.0218,2.5232,20.307,99.4457,-50.0144,4.2601,485.1631,352.4313,501.8996,349.6385,7.2272,干层
1669.84375,8.146,49.0941,0.0309,71.27,107.7037,13.7961,13.065,15.4693,15.3008,0.9388,8.9761,68.0041,0.104,2.836,0.0212,2.5399,18.5789,103.6501,-49.3828,4.7839,487.5927,353.2608,505.519,353.2843,7.6462,干层
1669.875,8.1425,49.0875,0.0335,71.4714,110.7677,13.3283,12.1941,14.9446,14.5413,0.9388,9.8865,68.0166,0.1037,2.8721,0.0197,2.5407,16.7832,105.3017,-48.9479,5.2823,490.8195,354.0932,511.5563,355.3006,7.8786,干层
1669.90625,8.1392,48.7747,0.0396,71.8926,114.185,12.6448,11.6743,14.4113,13.9713,0.9355,11.5641,68.0166,0.1051,2.9388,0.0179,2.545,15.0241,106.3134,-48.6309,5.6707,492.4373,356.1301,514.3727,357.317,8.0642,干层
1669.9375,8.1436,48.9821,0.0467,72.8537,116.7199,11.9095,10.9159,13.7963,13.3021,0.9355,13.9264,68.0166,0.1066,3.0827,0.017,2.5444,13.8206,107.3524,-48.3131,5.9989,497.2642,357.7508,518.3937,360.1451,8.1711,干层
1669.96875,8.1637,49.9714,0.0555,74.1543,118.9025,11.217,10.2254,13.0875,12.5727,0.9355,19.8682,68.0166,0.1091,3.3426,0.0175,2.5429,13.1834,108.4323,-48.1148,6.2369,503.6912,360.1804,520.8115,362.5688,8.1596,干层
1670.0,8.1998,50.9607,0.0683,75.8543,120.3184,10.3748,9.4748,12.4603,11.905,0.9355,27.3309,68.0166,0.1117,3.6025,0.0179,2.5391,12.8292,109.5121,-47.7578,6.5093,506.9062,363.0144,526.4415,366.1941,8.1482,干层
1670.03125,8.2159,56.4305,0.0827,77.5544,122.6767,9.7185,9.1038,11.5642,11.2317,0.9362,44.9465,68.0166,0.1162,3.512,0.021,2.5342,12.3941,114.3481,-47.4405,6.7955,512.5272,365.4352,529.6594,371.821,8.0835,干层
1670.0625,8.2321,61.9022,0.0996,79.3148,124.5051,9.1534,8.5279,10.3674,10.3861,0.9362,37.2568,68.0286,0.1207,3.4213,0.024,2.5287,11.9522,119.1858,-47.2028,7.1017,516.1437,369.8752,535.2805,374.6432,8.0188,干层
1670.09375,8.2601,64.845,0.1147,80.6351,127.0399,8.5123,8.12,9.5172,9.4651,0.9362,29.6694,68.0286,0.1255,3.3412,0.0256,2.5106,11.3805,122.8744,-46.9643,7.2672,519.7602,371.4871,538.8999,377.4626,8.133,干层
1670.125,8.3078,66.0986,0.1285,82.3355,130.5756,8.0611,7.5513,8.8326,8.6573,0.9329,25.6929,68.0286,0.1302,3.268,0.0262,2.4925,10.4878,125.7957,-46.6862,7.3389,524.9886,374.3123,544.1224,383.0953,8.3668,干层
1670.15625,8.3633,67.162,0.1374,83.4358,133.6979,7.5924,7.1901,8.0349,7.9617,0.9329,23.5849,68.0286,0.1354,3.2266,0.0267,2.4758,9.5605,128.5315,-46.4082,7.3674,528.611,379.9481,547.739,386.3132,8.6012,干层
1670.1875,8.4384,67.4623,0.147,84.8563,137.5858,7.1509,6.7843,7.5253,7.3622,0.9329,21.5713,68.0286,0.1406,3.3123,0.0265,2.4592,8.6836,130.5235,-46.1699,7.3848,532.6379,381.9644,554.5705,390.343,8.8382,干层
1670.21875,8.5251,67.7626,0.1579,85.9974,142.3561,6.6501,6.4131,7.0737,6.7956,0.9336,19.4441,68.0286,0.1462,3.398,0.0263,2.4471,7.8443,132.5155,-45.9311,7.3858,536.6559,386.3956,557.384,392.7638,9.0753,干层
1670.25,8.6591,67.4426,0.1731,86.7385,146.244,6.1956,5.9964,6.6252,6.4113,0.9336,18.1771,68.0399,0.1517,3.415,0.0267,2.4351,7.3082,133.8279,-45.692,7.1651,541.4887,390.8268,561.402,396.7935,9.3107,干层
1670.28125,8.8758,66.967,0.1905,87.3799,147.7197,5.8672,5.7512,6.2848,6.1264,0.9336,17.1169,68.0399,0.1571,3.4149,0.0273,2.4255,6.7717,134.9699,-45.5322,6.8552,543.4962,392.8402,565.0185,400.0085,9.5457,干层
1670.3125,8.927,66.2259,0.2126,87.7807,148.9009,5.5764,5.3484,6.0057,5.8649,0.9336,16.148,68.0399,0.1624,3.4028,0.0279,2.4159,6.3895,136.0979,-45.3716,6.4096,549.1203,394.8566,571.0441,404.0382,9.8093,干层
1670.34375,9.1279,65.086,0.2369,88.4019,149.7883,5.3386,5.2236,5.8231,5.6867,0.9303,15.1234,68.0399,0.1665,3.3728,0.0286,2.4113,6.106,137.2049,-45.2118,5.883,552.7397,401.3012,576.6711,406.459,10.116,干层
1670.375,9.2223,63.9461,0.2625,89.203,150.6513,5.1017,5.0373,5.6256,5.514,0.9303,14.3194,68.0399,0.1706,3.3428,0.0293,2.4067,5.9097,138.3119,-45.0506,5.3026,557.9623,404.1176,579.8802,410.0872,10.4226,干层
1670.40625,9.372,61.2512,0.2609,90.2636,150.8299,4.8577,4.8313,5.4447,5.3658,0.9303,13.7573,68.0507,0.1736,3.3127,0.0276,2.4044,5.7928,142.4487,-44.9297,5.1992,563.5775,406.1369,584.2968,412.1065,11.3219,干层
1670.4375,9.5059,58.5556,0.2595,91.4641,151.5408,4.6675,4.6002,5.1934,5.2219,0.9311,13.2172,68.0507,0.1767,3.2826,0.026,2.4022,5.6576,146.5868,-44.8881,5.0836,572.0033,410.9638,591.5269,416.1422,12.2215,干层
1670.46875,9.6397,56.727,0.2585,92.7247,153.0169,4.4847,4.4604,5.0355,5.045,0.9311,12.7447,68.0507,0.179,3.2743,0.025,2.4015,5.4757,148.5999,-44.7651,4.9494,574.0079,414.9906,594.739,418.5688,12.7715,干层
1670.5,9.7227,55.4774,0.2593,94.3251,155.3755,4.3327,4.317,4.9182,4.9634,0.9311,12.4467,68.0507,0.1813,3.2806,0.0244,2.4008,5.3479,149.1938,-44.7248,4.808,582.0322,417.4026,600.366,421.8044,13.0881,干层
1670.53125,9.7467,54.6208,0.2608,95.4657,157.9689,4.1706,4.1706,4.7774,4.8477,0.9311,12.4245,68.0507,0.1815,3.2845,0.0241,2.3994,5.176,149.8035,-44.6018,4.7001,585.6487,421.4323,603.1766,422.2206,13.3402,干层
1670.5625,9.7473,55.3398,0.2635,96.5067,160.7981,4.0438,4.0365,4.6324,4.7607,0.9316,12.6996,68.0603,0.1818,3.2792,0.025,2.398,5.0369,150.4773,-44.6005,4.7333,590.4669,424.6532,608.4022,424.2429,13.3339,干层
1670.59375,9.7362,56.0589,0.2653,97.0277,163.2151,3.9209,3.928,4.5575,4.6838,0.9316,12.9808,68.0603,0.1814,3.274,0.0259,2.3974,4.8749,151.1512,-44.5172,4.8645,594.4849,426.6813,614.0292,427.8829,13.3275,干层
1670.625,9.721,57.3508,0.2666,97.6891,165.8677,3.8017,3.7948,4.4594,4.5498,0.9283,13.1719,68.0603,0.1809,3.2059,0.0257,2.3967,4.7096,152.49,-44.4761,5.0611,598.9074,428.7065,615.6441,429.5095,13.3341,干层
1670.65625,9.702,58.7864,0.2625,98.1501,167.8144,3.7265,3.6995,4.3795,4.4359,0.9283,13.4145,68.0603,0.1794,3.122,0.0253,2.3972,4.6164,153.9955,-44.3937,5.3686,601.7269,431.1509,618.4753,432.3377,13.3439,干层
1670.6875,9.6752,60.7446,0.2599,98.7116,168.4664,3.6528,3.5871,4.3169,4.3483,0.9283,13.913,68.0603,0.1778,3.0469,0.0257,2.3976,4.5169,155.9905,-44.3507,5.6189,606.5568,432.7716,620.0991,433.9644,13.2528,干层
1670.71875,9.6599,63.4883,0.2596,98.9529,167.8242,3.6197,3.478,4.3015,4.2937,0.9283,14.4299,68.0698,0.1766,2.9851,0.0275,2.403,4.3717,158.4633,-44.3094,5.7833,609.7806,434.4071,622.9362,436.3911,13.0101,干层
1670.75,9.6254,66.2321,0.2573,99.4543,165.4759,3.5675,3.4092,4.318,4.3022,0.929,15.158,68.0698,0.1754,2.9233,0.0293,2.4084,4.3164,158.9963,-44.3059,6.0909,615.0121,435.6322,624.9614,438.0147,12.7673,干层
1670.78125,9.5948,71.2419,0.2526,98.2373,161.4805,3.516,3.3784,4.4221,4.4221,0.929,15.7784,68.0698,0.1746,2.9227,0.0319,2.4159,4.2004,158.5279,-44.3016,6.4728,616.2225,436.8632,628.6016,438.8531,11.687,干层
1674.0,8.5652,58.6091,0.0315,77.6251,111.9902,9.4231,9.2536,8.956,10.5339,0.8987,27.7059,68.009,0.1633,3.1935,0.0252,2.5557,19.7256,102.7941,-45.8448,5.4188,508.761,356.0995,510.3495,366.8523,6.1532,差气层
