Depth,AC,CAL,CALI,GR,HAC,LLD,LLS,MINV,MNOR,MSFL,NPHI,PD,RHOB,RILD,RILM,RSFL,SP,result
805.0625,345.4324,8.344,8.344,78.8444,341.7478,5.6752,5.2152,4.7517,4.8716,7.1927,0.3123,174.8725,2.1212,2.5399,2.2701,4.8148,66.9445,水层
805.09375,345.8123,8.3149,8.3149,79.2219,336.4484,5.5102,5.0451,4.7517,4.7916,6.9582,0.3129,176.4003,2.1218,2.5354,2.2494,4.762,66.8999,水层
805.125,346.6985,8.2817,8.2817,80.479,333.9251,5.3797,4.8986,4.6316,4.6116,6.7066,0.3132,178.2337,2.1224,2.5356,2.2413,4.6581,66.8525,水层
805.15625,347.5842,8.2817,8.2817,80.7929,329.5098,5.2619,4.6953,4.5916,4.5316,6.2884,0.3132,179.9146,2.1246,2.5357,2.2456,4.5648,66.8471,水层
805.1875,348.2187,8.2693,8.2693,81.1057,327.3652,5.1372,4.635,4.5115,4.4516,5.8746,0.3127,181.5445,2.128,2.5359,2.2581,4.4899,66.8442,水层
805.21875,348.4736,8.2694,8.2694,81.796,324.0857,5.0526,4.5587,4.4515,4.2118,5.3487,0.3122,183.0726,2.1308,2.5454,2.2876,4.3518,66.7993,水层
805.25,348.2239,8.2695,8.2695,82.297,321.5637,5.0429,4.55,4.3115,3.9719,4.7116,0.3114,184.1927,2.136,2.5549,2.3216,4.3041,66.7058,水层
805.28125,348.0992,8.2696,8.2696,82.5467,320.555,5.0984,4.6169,4.1315,3.852,4.0972,0.3102,184.854,2.142,2.5739,2.3912,4.2569,66.7058,水层
805.3125,348.2291,8.2822,8.2822,82.7327,317.5292,5.202,4.7194,4.0116,3.652,3.7373,0.3095,184.9541,2.1464,2.6124,2.4493,4.257,66.699,水层
805.34375,348.6111,8.2948,8.2948,82.476,316.7729,5.3567,4.8776,3.9316,3.512,3.3777,0.3086,184.9014,2.1568,2.6269,2.5134,4.4907,66.6961,水层
805.375,348.9914,8.299,8.299,82.0289,315.8917,5.577,5.0689,3.6516,3.492,3.2797,0.3056,184.593,2.162,2.6759,2.5983,4.5995,66.6051,水层
805.40625,349.3717,8.2991,8.2991,82.0289,320.692,5.6905,5.2679,3.6516,3.4919,3.138,0.3056,184.49,2.1742,2.7358,2.6273,4.8878,66.6019,水层
805.4375,351.5219,8.3033,8.3033,81.7711,328.1426,5.8597,5.3947,3.5516,3.7114,3.0806,0.3045,184.3866,2.1848,2.792,2.6911,5.1656,66.599,水层
