Depth,AC,CAL,DRHO,DT,GR,HAC,ILD,ILM,LLD,LLS,MSFL,NPHI,PD,PEF,RHOB,SFLU,SP,TT1,TT2,TT3,TT4,result
1409.625,272.676,8.824,0.028,84.002,83.136,292.035,6.873,7.025,9.181,7.482,4.915,0.211,162.786,3.822,2.338,7.775,-7.762,579.837,412.831,579.837,414.407,水层
1409.6875,268.455,8.796,0.024,83.899,82.784,284.865,6.959,7.025,9.298,7.562,5.144,0.21,159.449,3.737,2.349,8.009,-7.974,579.837,412.831,577.8,414.063,水层
1409.75,268.814,8.773,0.021,83.692,82.337,275.213,7.045,7.093,9.298,7.687,6.009,0.207,159.015,3.638,2.361,8.244,-8.171,579.837,412.831,577.8,413.72,水层
1409.8125,270.87,8.741,0.02,83.485,82.552,266.088,7.131,7.161,9.298,7.614,7.984,0.206,160.223,3.543,2.372,8.478,-8.402,579.837,412.831,577.8,413.376,水层
1409.875,270.985,8.737,0.02,83.382,82.776,261.432,7.172,7.23,9.21,7.524,9.958,0.205,163.443,3.45,2.384,8.752,-8.374,579.837,412.831,577.8,413.032,水层
1409.9375,271.179,8.739,0.02,83.382,83.355,263.476,7.189,7.23,9.036,7.383,11.908,0.205,166.238,3.411,2.396,8.836,-8.387,579.837,412.987,577.8,412.987,水层
1410.0,270.185,8.738,0.02,83.278,83.937,267.382,7.206,7.161,8.866,7.241,11.795,0.206,168.361,3.41,2.404,8.836,-8.373,579.837,413.364,575.764,413.364,水层
1410.0625,271.539,8.799,0.024,83.278,85.842,270.498,7.223,7.161,8.623,7.1,10.821,0.206,170.633,3.561,2.41,8.62,-8.363,577.8,413.742,575.764,413.742,水层
1410.125,273.848,8.87,0.027,83.382,87.103,270.784,7.24,7.093,8.317,6.958,10.011,0.209,172.19,3.786,2.412,8.349,-7.991,577.8,414.119,575.764,414.119,水层
1410.1875,278.205,8.9,0.03,83.692,89.68,272.46,7.257,7.025,8.011,6.728,9.215,0.213,173.115,3.984,2.407,8.078,-7.947,577.8,414.496,573.727,414.496,水层
1410.25,281.408,8.875,0.033,84.002,90.934,273.269,7.274,7.025,7.705,6.601,8.445,0.217,173.835,4.153,2.398,7.807,-7.697,577.8,414.873,573.727,414.873,水层
1410.3125,284.836,8.859,0.043,84.312,93.924,275.152,7.291,6.959,7.4,6.477,7.495,0.22,174.045,4.426,2.384,7.536,-7.509,575.764,415.25,573.727,415.25,水层
1410.375,286.524,8.841,0.052,84.623,96.296,283.201,7.299,6.959,7.33,6.355,6.539,0.224,174.157,4.54,2.371,7.299,-7.367,575.764,415.627,573.727,415.627,水层
1410.4375,286.464,8.842,0.062,84.726,98.242,289.648,7.299,6.959,7.563,6.573,6.994,0.228,173.333,4.695,2.357,7.093,-7.146,577.8,416.005,575.764,416.005,水层
1410.5,283.543,8.842,0.071,84.726,99.442,291.639,7.299,6.959,7.918,6.812,7.42,0.23,171.85,4.754,2.345,7.025,-6.95,577.8,416.382,577.8,416.382,水层
1410.5625,280.474,8.886,0.081,84.623,100.204,290.677,7.369,7.025,8.273,7.05,7.76,0.234,168.727,4.808,2.329,6.892,-6.778,579.837,416.759,579.837,416.759,水层
1410.625,279.102,8.905,0.084,84.519,100.417,288.912,7.369,7.093,8.628,7.289,7.542,0.234,164.059,4.815,2.321,6.892,-6.883,579.837,417.136,579.837,417.136,水层
1410.6875,277.86,8.943,0.085,84.519,100.561,284.733,7.44,7.23,8.951,7.528,7.26,0.234,159.692,4.794,2.309,7.279,-7.109,581.874,417.513,581.874,417.513,水层
1410.75,275.914,8.944,0.083,84.416,99.997,283.475,7.44,7.299,9.298,7.687,6.989,0.234,155.959,4.765,2.303,7.725,-7.166,583.91,417.891,583.91,417.891,水层
1410.8125,275.463,8.914,0.082,84.312,99.869,281.859,7.44,7.369,9.567,7.834,6.664,0.231,149.599,4.746,2.3,8.17,-7.125,583.91,418.268,583.91,418.268,水层
1410.875,279.47,8.763,0.084,84.416,99.476,280.215,7.511,7.369,9.48,7.985,7.528,0.229,150.441,4.73,2.307,8.633,-7.372,582.922,418.645,582.922,418.645,水层
1410.9375,282.325,8.652,0.086,84.519,99.447,278.458,7.492,7.299,9.179,7.862,10.492,0.226,153.714,4.73,2.317,9.12,-7.542,581.739,418.941,581.739,418.941,水层
1411.0,284.454,8.521,0.091,84.829,99.455,276.603,7.46,7.23,8.879,7.603,12.728,0.224,160.71,4.749,2.326,9.606,-7.919,580.556,416.904,580.556,416.904,水层
1411.0625,287.005,8.538,0.093,85.036,100.253,278.95,7.428,7.23,8.579,7.343,12.485,0.223,170.832,4.795,2.335,10.101,-8.239,579.373,416.904,579.373,416.904,水层
1411.125,288.4,8.702,0.097,85.45,101.049,283.603,7.396,7.23,8.279,7.084,12.201,0.221,176.707,4.819,2.336,9.909,-8.439,578.19,416.904,578.19,416.904,水层
1411.1875,289.051,8.821,0.098,85.76,101.923,289.844,7.369,7.161,7.891,6.873,11.908,0.222,187.743,4.834,2.333,9.412,-8.595,577.007,416.904,577.007,416.904,水层
1411.25,288.488,9.006,0.095,86.07,103.372,293.324,7.369,7.093,7.542,6.742,8.564,0.224,188.887,4.789,2.33,8.901,-8.587,575.764,414.868,575.764,414.868,水层
1411.3125,286.187,9.095,0.092,86.07,103.637,297.191,7.44,7.093,7.47,6.601,4.687,0.227,184.618,4.76,2.327,8.232,-8.543,575.764,414.868,575.764,414.868,水层
1411.375,282.63,9.147,0.088,85.76,103.456,298.634,7.583,7.161,7.764,6.728,4.759,0.231,180.713,4.631,2.323,7.369,-8.364,575.764,414.389,575.764,414.519,水层
1411.4375,275.845,9.135,0.084,85.243,101.152,298.299,7.656,7.23,8.193,6.991,4.915,0.233,171.62,4.443,2.336,7.23,-8.391,575.764,412.933,575.764,413.461,水层
1411.5,269.387,9.105,0.081,83.692,99.155,294.829,7.804,7.369,8.622,7.454,4.915,0.234,161.655,4.27,2.356,6.892,-8.339,573.727,411.478,573.727,412.402,水层
1411.5625,262.104,9.006,0.081,82.761,95.61,285.199,7.879,7.511,9.051,7.918,5.357,0.234,153.059,4.094,2.374,6.762,-8.154,571.69,410.022,571.69,411.344,水层
1411.625,257.683,8.919,0.08,81.52,91.782,269.038,7.813,7.656,9.372,8.374,6.176,0.23,146.595,3.934,2.398,7.452,-8.191,571.69,408.567,571.69,410.285,水层
1411.6875,257.768,8.822,0.079,80.383,88.696,253.364,7.847,7.73,9.546,8.699,10.204,0.224,140.654,3.839,2.416,8.086,-8.168,569.654,407.111,569.654,409.227,水层
1411.75,258.367,8.728,0.078,79.866,84.834,240.231,7.881,7.879,9.719,8.866,14.17,0.216,142.07,3.847,2.428,8.72,-8.18,567.617,405.656,567.617,408.168,水层
1411.8125,260.019,8.672,0.075,78.831,82.606,238.31,7.915,7.955,9.893,8.866,19.53,0.205,143.288,3.875,2.436,9.354,-8.212,565.58,404.2,565.58,407.11,水层
1411.875,262.1,8.678,0.071,78.521,80.895,236.805,7.955,8.031,9.938,9.036,19.345,0.199,147.081,3.933,2.439,10.101,-8.647,563.544,402.745,563.544,406.721,水层
1411.9375,264.099,8.734,0.062,78.521,81.657,252.591,8.031,8.186,9.938,9.237,15.837,0.192,149.346,4.062,2.43,10.394,-9.031,561.507,401.289,561.507,404.684,水层
1412.0,266.207,8.809,0.059,78.728,83.072,270.386,8.344,8.304,9.938,9.46,12.181,0.192,151.682,4.173,2.418,10.494,-9.442,560.489,399.834,560.489,402.648,水层
