Wellname,Depth,X,Y,GR,SP,CAL,AC,CNL,DEN,LLD,LLS,MSFL,lith
long291,1914.73625,5143500.3,21613750.3,111.4352,-14.7656,9.5937,251.1808,29.79,2.4723,5.7111,5.6264,33.0938,3
long291,1914.7675,5143500.3,21613750.3,108.5625,-14.7344,9.5078,252.1998,29.05,2.5073,5.6177,5.569,75.9595,3
long291,1914.79875,5143500.3,21613750.3,115.0625,-14.5469,9.4688,253.0911,29.19,2.5484,5.8766,5.8326,93.084,3
long291,1914.83,5143500.3,21613750.3,119.4375,-14.4766,9.3594,253.7261,28.17,2.5625,6.4353,6.3427,53.5312,3
long291,1914.86125,5143500.3,21613750.3,120.5625,-14.3828,9.0234,253.852,26.86,2.5847,7.5866,7.3935,29.5625,3
long291,1914.8925,5143500.3,21613750.3,112.8125,-14.4062,9.0234,254.1047,23.61,2.6091,7.9938,7.7904,18.9375,3
long291,1914.92375,5143500.3,21613750.3,111.375,-14.4688,9.0469,253.7188,24.72,2.589,7.9802,7.7944,13.7266,3
long291,1914.955,5143500.3,21613750.3,116.0625,-14.5625,9.1562,253.3329,24.7,2.5536,8.1673,7.9574,11.6016,3
long291,1914.98625,5143500.3,21613750.3,133.75,-14.625,9.0312,251.2858,25.78,2.54,6.7843,6.7519,10.5806,3
long291,1915.0175,5143500.3,21613750.3,143.625,-14.4922,9.375,250.134,24.38,2.4806,6.4359,6.3617,12.7188,3
long291,1915.04875,5143500.3,21613750.3,139.875,-14.5234,10.0781,249.1095,25.74,2.3687,6.1145,6.1232,18.5469,3
long291,1915.08,5143500.3,21613750.3,128.7394,-14.4922,10.3751,247.191,27.6,2.302,5.9707,6.0068,28.2344,3
long291,1915.11125,5143500.3,21613750.3,115.5,-14.4297,10.5625,244.2507,28.4,2.2595,6.3638,6.3394,22.9844,3
long291,1915.1425,5143500.3,21613750.3,114.0588,-14.4921,10.195,242.3322,28.83,2.2114,6.4274,6.5027,14.6797,3
long291,1915.17375,5143500.3,21613750.3,109.4375,-14.3359,9.8047,240.1573,29.81,2.1643,6.4925,6.5665,10.8672,3
long291,1915.205,5143500.3,21613750.3,116.5,-14.1719,9.6328,239.0033,30.95,2.2078,6.4499,6.4814,10.0957,3
long291,1915.23625,5143500.3,21613750.3,120.625,-14.0547,9.8984,239.2582,31.28,2.268,6.0476,6.1529,12.0234,3
long291,1915.2675,5143500.3,21613750.3,123.875,-14.0547,9.9922,241.4263,32.07,2.3224,6.0003,6.1059,16.9375,3
long291,1915.29875,5143500.3,21613750.3,122.6875,-13.8047,10.2188,243.5953,34.4,2.3397,6.4272,6.4654,25.4219,3
