wellname,Depth,AC,CAL,CNC,CORR,DEN,GR,HAC,RD,RFOC,RILD,RILM,RMLL,RS,SP,lith
gu461,2054.7639,69.6034,8.9897,10.5897,-0.0047,2.5867,70.3882,261.3773,36.8876,33.7032,10.2914,11.4208,50.604,29.944,-31.3511,12
gu461,2054.7952,68.8179,8.9952,10.3821,-0.0017,2.5918,70.4888,247.8625,39.6099,36.2204,10.4823,11.5377,47.9109,31.9704,-31.4686,12
gu461,2054.8265,68.1556,8.9989,10.1428,9.00E-04,2.5958,71.2031,239.7983,40.0233,36.0948,10.6657,11.5882,42.2675,32.1545,-31.5636,12
gu461,2054.8578,67.5726,9.0009,9.8797,0.0025,2.5994,72.3435,235.0792,38.8563,34.1552,10.8461,11.5937,34.5557,31.0766,-31.6438,12
gu461,2054.8891,67.0267,9.0034,9.6205,0.0039,2.6024,73.5393,232.821,37.5252,32.0536,11.021,11.5884,27.331,29.8989,-31.7187,12
gu461,2054.9204,66.6517,9.0077,9.3703,0.0041,2.6035,75.0707,232.8393,35.2928,29.0266,11.1747,11.5245,22.3312,28.1553,-31.7688,12
gu461,2054.9517,66.4347,9.0137,9.1288,0.0021,2.6021,76.9131,234.3316,32.2248,25.1412,11.3092,11.407,19.3942,25.8878,-31.7948,12
gu461,2054.983,66.2177,9.0197,8.8873,5.00E-04,2.6005,78.7557,235.4707,29.1568,21.2556,11.4437,11.29,16.4572,23.6208,-31.8208,12
gu461,2055.0143,66.1059,9.0331,8.6656,5.00E-04,2.5959,80.9582,234.0449,26.3423,18.1524,11.5147,11.1237,14.2868,21.5412,-31.823,12
gu461,2055.0456,66.1214,9.0547,8.4716,0.0015,2.5873,83.5512,229.686,23.8763,16.0294,11.5097,10.9021,13.0628,19.7192,-31.7966,12
gu461,2055.0769,66.1369,9.0757,8.2771,0.0025,2.5793,86.1447,224.7805,21.4108,13.9069,11.5047,10.6807,11.8388,17.8972,-31.77,12
gu461,2055.1082,66.2169,9.1054,8.1291,0.0071,2.5685,88.8788,220.1187,19.2634,12.2329,11.4144,10.4264,10.7052,16.2748,-31.7283,12
gu461,2055.1395,66.3886,9.1477,8.0477,0.0171,2.5541,91.8118,214.4855,17.5667,11.1949,11.2037,10.1261,9.7002,14.936,-31.6642,12
gu461,2055.1708,66.5805,9.1931,7.9787,0.0282,2.539,94.8091,208.6357,15.9501,10.2813,10.9664,9.8137,8.7141,13.646,-31.5947,12
gu461,2055.2021,66.8334,9.2442,7.9626,0.0452,2.5244,97.8032,204.4053,14.5397,9.538,10.6765,9.4859,7.7801,12.4977,-31.5168,12
gu461,2055.2334,67.1977,9.3069,8.0408,0.073,2.5109,100.8333,203.3096,13.4776,9.0877,10.2889,9.1262,6.9276,11.5868,-31.4231,12
gu461,2055.2647,67.6091,9.3749,8.1578,0.1055,2.4979,103.8783,205.7664,12.5612,8.7603,9.8604,8.7527,6.1096,10.7763,-31.3231,12
gu461,2055.296,68.0708,9.4452,8.3114,0.1375,2.4849,106.9866,209.492,11.7234,8.4683,9.4225,8.3773,5.3459,10.0273,-31.2198,12
gu461,2055.3273,68.6696,9.5231,8.5627,0.1683,2.4723,110.2868,213.5557,11.0887,8.2702,8.9557,7.994,4.7214,9.4363,-31.1068,12
gu461,2055.3586,69.3481,9.6051,8.8732,0.1983,2.4598,113.6673,219.1205,10.5911,8.1337,8.4762,7.61,4.1934,8.9543,-30.9883,12
gu461,2055.3899,70.0423,9.6866,9.2004,0.2273,2.4468,117.0973,225.8344,10.1089,7.9891,8.0029,7.2298,3.6887,8.4875,-30.8688,12
