wellname,Depth,GR,SP,CAL,AC,CNL,DEN,LLD,LLS,MSFL,lith
long291,1910.36125,129.125,-15,8.9531,275.3245,32.11,2.4294,5.6237,5.9789,10.8672,7
long291,1910.3925,132.3738,-15.1876,8.9531,276.0868,31.87,2.4982,5.6715,6.0098,9.6953,7
long291,1910.42375,130.875,-15.375,8.9766,276.3408,29.36,2.5393,7.2052,7.4059,9.5547,7
long291,1910.455,116.375,-15.3047,9.0391,276.5945,25.38,2.5792,8.4201,8.4853,10.1484,7
long291,1910.48625,108.875,-15.2109,9.1719,276.9744,21.9,2.604,8.7219,8.5317,10.9922,7
long291,1910.5175,110.75,-15.1172,8.9766,276.0772,21.5,2.5748,8.7705,8.4843,10.2362,2
long291,1910.54875,124.375,-15.2422,8.9062,275.0532,24.69,2.5553,7.2937,7.3084,10.4609,2
long291,1910.58,131.5,-15.2422,8.9062,273.3897,28.04,2.5557,5.6894,5.7869,11.8984,2
long291,1910.61125,135,-15.2344,8.9062,272.1093,30.23,2.5497,5.559,5.5114,14.75,2
long291,1910.6425,136.5,-15.2344,8.9219,270.7013,29.96,2.5335,5.5414,5.5367,18.7656,2
long291,1910.67375,134.1212,-15.4219,9.047,270.189,28.99,2.5118,5.5776,5.6438,21.3438,2
long291,1910.705,129.375,-15.4766,9.2266,268.141,25.76,2.5361,7.1193,6.9588,27.7502,2
long291,1910.73625,120.6818,-15.4141,9.1328,267.5006,23.86,2.6258,9.0693,8.7741,24.3281,2
long291,1910.7675,113.5625,-15.4062,9.1328,266.2198,22.37,2.6619,9.7014,9.2494,25.5625,2
long291,1910.79875,109.066,-15.6875,9.3983,265.0676,25.01,2.5886,9.6664,9.2502,23.6875,2
long291,1910.83,113.4375,-15.75,9.2109,264.4272,27.24,2.5206,7.6813,7.7144,24.8125,2
long291,1910.86125,119.3125,-15.75,9.3438,263.6581,28.37,2.4931,6.1184,6.1477,21.75,2
long291,1910.8925,126.75,-15.7188,9.2266,262.8896,29.44,2.4893,5.9798,5.8644,21.9844,2
long291,1910.92375,128.5,-15.375,9.3594,262.6309,31.13,2.5133,6.0378,5.8367,21.7817,2
long291,1910.955,134,-15.25,9.2734,262.3728,30.05,2.5011,5.9776,5.7816,22.6562,2
long291,1910.98625,134.75,-15.0938,9.4219,262.1146,30.04,2.5336,5.9892,5.732,20.5625,2
long291,1911.0175,135.375,-15.125,9.4531,261.7265,29.39,2.5327,5.9161,5.6619,17.2031,3
