Depth,AC,CALS,DRHO,DT,GR,HAC,ILD,ILM,LLD,LLS,MRES,MSFL,MTEM,NPHI,PD60,PEF,RHOB,SFLU,SP,TT1,TT2,TT3,TT4,result
945.5625,354.3959,-99999.0,-99999.0,92.0516,-99999.0,352.2307,4.4737,4.3313,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,4.3668,-99999.0,674.0457,450.1812,678.7874,454.4508,水层
945.59375,354.3849,-99999.0,-99999.0,94.588,-99999.0,352.4818,4.1611,3.9072,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,3.9086,-99999.0,686.3333,471.782,690.4103,473.218,水层
945.625,354.3801,-99999.0,-99999.0,100.3611,-99999.0,353.1114,3.8864,3.5412,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,3.3935,-99999.0,700.6197,488.6387,702.9784,492.3263,水层
945.65625,354.2478,-99999.0,-99999.0,107.8047,-99999.0,353.6135,3.6414,3.3091,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,2.8459,-99999.0,714.3542,506.1206,717.6394,511.0673,水层
945.6875,354.2344,-99999.0,-99999.0,114.8241,-99999.0,353.9895,3.4211,3.1759,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,2.6152,-99999.0,727.3579,526.1797,729.7506,526.5008,水层
945.71875,354.2344,-99999.0,-99999.0,118.1537,-99999.0,354.2367,3.2441,3.0614,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,2.7031,-99999.0,724.2789,547.012,726.1006,549.8378,水层
945.75,354.2271,-99999.0,-99999.0,120.1662,-99999.0,353.2093,3.1459,2.9478,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,2.8272,-99999.0,717.4251,558.3623,719.4251,563.8623,水层
945.78125,352.8116,-99999.0,-99999.0,120.4548,-99999.0,351.2871,3.1792,2.8772,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,2.715,-99999.0,723.0953,544.6967,725.7404,554.3894,水层
945.8125,352.808,-99999.0,-99999.0,117.6339,-99999.0,349.8773,3.314,2.9639,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,2.425,-99999.0,725.0625,526.3125,729.3542,532.5,水层
945.84375,352.927,-99999.0,-99999.0,110.6542,-99999.0,349.1061,3.4864,3.2747,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,2.3535,-99999.0,717.2158,511.3083,723.508,517.5388,水层
