Depth,AC,CAL,CNC,CORR,DEN,GR,HAC,RD,RFOC,RILD,RILM,RMLL,RS,SP,result
1934.7597,66.287,8.812,7.4477,0.0207,2.5715,66.6428,232.1752,20.543,17.3275,12.9644,12.1569,20.8798,17.4262,-37.5736,干层
1934.791,65.9678,8.812,7.186,0.02,2.5759,65.272,230.9592,21.564,17.8953,13.1844,12.2951,21.3898,18.2552,-37.7361,干层
1934.8223,65.6124,8.812,6.9601,0.0209,2.5786,64.1572,229.1345,22.4586,18.534,13.3822,12.3793,22.4026,18.9686,-37.889,干层
1934.8536,65.2219,8.812,6.7643,0.0239,2.5806,63.2618,227.3204,23.2477,19.2407,13.5633,12.4154,23.8693,19.5836,-38.0336,干层
1934.8849,64.8345,8.812,6.5769,0.0266,2.5826,62.4118,225.9075,23.9989,19.9226,13.7411,12.4438,25.3635,20.1665,-38.1757,干层
1934.9162,64.4554,8.812,6.4357,0.029,2.5834,61.8193,225.0832,24.535,20.4694,13.9019,12.4261,27.0692,20.5684,-38.3056,干层
1934.9475,64.0914,8.8117,6.36,0.0316,2.5817,61.5896,224.6218,24.7663,20.8237,14.0389,12.3454,29.0525,20.7134,-38.4169,干层
1934.9788,63.7274,8.8107,6.285,0.0336,2.5807,61.3606,223.6974,24.9983,21.1787,14.1759,12.2651,31.0365,20.8584,-38.5289,干层
1935.0101,63.4401,8.81,6.2265,0.0353,2.5787,61.3648,222.2219,24.9812,21.1914,14.3076,12.1653,31.6604,20.804,-38.6293,干层
1935.0414,63.3168,8.8097,6.2039,0.0363,2.575,61.8582,220.4678,24.4422,20.4864,14.4263,12.0269,29.425,20.332,-38.704,干层
1935.0727,63.1926,8.8087,6.1818,0.0373,2.5717,62.3541,218.8701,23.9011,19.779,14.545,11.8877,27.1806,19.8581,-38.7786,干层
1935.104,63.1507,8.808,6.1575,0.038,2.568,62.9426,217.3198,23.201,18.9086,14.667,11.7546,24.7717,19.2719,-38.8438,干层
1935.1353,63.2954,8.8077,6.1282,0.0383,2.5644,63.7482,215.9496,22.1307,17.656,14.7957,11.6333,21.9634,18.4231,-38.8865,干层
1935.1666,63.4831,8.807,6.098,0.039,2.5597,64.6059,214.2025,20.9735,16.3127,14.9262,11.5148,19.0551,17.5118,-38.9249,干层
1935.1979,63.7146,8.807,6.0657,0.039,2.556,65.5512,212.0162,19.8056,15.0255,15.0565,11.4128,16.4593,16.6025,-38.9573,干层
