Depth,CALS,DRHO,DT,GR,ILD,ILM,LLD,LLS,MSFL,NPHI,PEF,RHOB,SFLU,SP,TT1,TT2,TT3,TT4,result
1248.934,8.8594,0.0139,95.3788,108.1875,5.5025,5.0162,4.4564,4.1757,14.9531,0.2908,2.8066,2.3682,3.4687,-59.25,622.0,426.75,608.0,422.25,水层
1248.9848,9.0625,0.0357,94.546,109.625,5.1989,4.9895,4.5725,4.2244,15.7109,0.2981,2.9142,2.41,3.6401,-58.8125,615.9972,425.004,604.9992,422.2532,水层
1249.0356,9.1641,0.0538,92.1653,111.25,4.8642,4.7849,5.0996,4.5201,18.8674,0.298,3.0098,2.4465,4.2677,-58.3125,612.5,430.0,604.0,426.25,水层
1249.0864,8.7734,0.0459,91.0238,108.5625,4.7117,4.6854,5.3699,4.7427,26.9375,0.2932,3.084,2.4457,4.4987,-58.5,604.0,432.25,601.0,428.75,水层
1249.1372,8.9688,0.0372,91.1246,109.375,4.8083,4.6393,5.0784,4.6529,48.625,0.307,3.2188,2.4217,4.317,-58.5625,602.0,428.0,596.5,424.75,水层
1249.188,8.8828,0.0195,89.475,105.75,5.0025,4.9304,5.2214,4.8628,95.875,0.3089,3.4863,2.4051,4.1754,-58.5625,607.0,412.0,602.5,413.0,水层
1249.2388,8.6875,0.023,86.7445,102.625,5.2113,5.2151,6.001,5.4784,130.0,0.2986,3.5723,2.4138,4.5779,-58.625,602.0,410.75,599.5,408.0,水层
1249.2896,8.9219,0.0136,87.0704,98.25,5.2413,5.4933,6.6264,6.0169,179.125,0.2872,3.4609,2.4279,5.5502,-58.25,590.0,413.0,586.0,408.0,水层
1249.3404,9.4688,0.0144,88.0328,96.375,5.3784,5.5519,7.2992,6.4694,221.75,0.2736,3.3535,2.441,6.5387,-58.5,594.0,409.0,586.5,409.0,水层
1249.3912,9.4219,0.0125,88.9846,97.5,5.415,5.4616,7.2456,6.4305,236.9634,0.2759,3.3242,2.4668,6.7603,-58.6875,592.5,405.5,584.0,404.0,水层
