Depth,CAL,CALI,DRHO,DT,GR,ILD,ILM,LLD,LLS,MRES,MSFL,MTEM,NPHI,PEF,RHOB,SFLU,SP,TT1,TT2,TT3,TT4,result
1242.75,9.4065,12.9949,0.0266,85.6412,74.2794,6.7986,6.6578,9.6282,9.6097,0.8711,18.8145,58.8559,0.2025,3.6989,2.4787,9.272,-56.6633,562.625,383.7536,580.6294,397.3698,水层
1242.78125,9.4501,12.2739,0.0244,86.8476,75.0648,6.7855,6.5695,9.3721,9.4264,0.8711,21.6532,58.8453,0.2025,3.6668,2.4725,8.6413,-56.6207,561.8083,383.7457,578.6136,396.1509,水层
1242.8125,9.4676,11.8791,0.0226,87.9534,76.5703,6.7726,6.4824,8.9488,8.7275,0.8703,22.8962,58.8362,0.203,3.6306,2.4598,8.115,-56.6207,561.781,384.1288,576.998,395.7284,水层
1242.84375,9.4894,11.6876,0.0214,88.6571,77.0284,6.7082,6.4086,8.3334,8.5941,0.8688,21.0364,58.8264,0.2041,3.5864,2.4335,7.6207,-56.5777,561.7728,384.113,574.9783,395.7139,水层
1242.875,9.5199,11.5632,0.0194,89.2802,77.6828,6.6826,6.3721,8.1117,8.3655,0.8713,19.6276,58.8121,0.2067,3.5743,2.4235,7.3499,-56.5788,562.5485,384.0946,573.3558,395.6928,水层
1242.90625,9.5373,11.5615,0.0184,89.6018,78.4684,6.6192,6.3356,7.6564,7.9876,0.8713,16.9884,58.8075,0.2098,3.5261,2.4119,7.1975,-56.6232,562.543,384.0696,573.3462,395.6849,水层
1242.9375,9.5635,11.7154,0.0188,89.9836,79.4502,6.5688,6.2755,7.2824,7.7601,0.8704,15.4887,58.7977,0.214,3.5141,2.4024,6.9153,-56.7552,562.9198,384.0618,572.9242,395.269,水层
1242.96875,9.5635,11.9674,0.025,90.3654,80.1046,6.5562,6.2159,7.075,7.4525,0.8737,14.2032,58.7811,0.2201,3.4859,2.3932,6.695,-56.9309,562.9089,384.046,572.9104,395.6559,水层
1243.0,9.5503,12.1523,0.0332,90.6066,80.5626,6.4693,6.1569,6.8735,7.1847,0.8729,12.4363,58.7811,0.2268,3.4538,2.3828,6.2277,-57.0629,562.8911,384.0289,572.4939,395.6336,水层
1243.03125,9.5329,12.3285,0.0451,90.928,81.0205,6.4079,6.0868,6.6778,6.9936,0.8746,10.5588,58.7303,0.2328,3.4417,2.3772,5.9043,-57.1075,561.6675,384.0197,572.4788,395.6191,水层
1243.0625,9.5197,12.4688,0.0519,91.1892,81.1512,6.335,6.0868,6.5001,6.7813,0.8746,6.6518,58.7152,0.2369,3.4336,2.3733,5.9834,-57.1081,561.2592,384.8029,571.2606,395.6046,水层
1243.09375,9.5022,12.5485,0.0557,91.4302,81.2817,6.2988,6.029,6.3149,6.4875,0.8779,6.0064,58.7502,0.2409,3.4255,2.3681,6.0751,-57.0653,560.0328,385.1819,569.6423,395.5848,水层
1243.125,9.4848,12.3316,0.0607,91.6713,81.3467,6.2035,5.9376,6.2303,6.3148,0.8771,5.3821,58.7047,0.2449,3.5298,2.3639,6.1917,-56.9786,559.2148,385.1662,568.8285,395.5743,水层
1243.15625,9.4585,12.0651,0.0635,91.8722,81.2807,6.1329,5.9376,6.135,6.2302,0.8764,5.0119,58.6896,0.2482,3.61,2.3617,6.2508,-56.9353,558.8038,385.1504,567.2061,396.3587,水层
1243.1875,9.4541,11.8936,0.0673,92.0327,81.2804,6.0747,5.8813,6.0761,6.1823,0.8828,4.7488,58.6851,0.2534,3.7344,2.3573,6.3345,-56.9362,557.583,385.1346,566.3867,396.3416,水层
1243.21875,9.441,11.7708,0.0709,92.0928,81.28,6.0285,5.8365,6.0527,6.1348,0.8861,4.5606,58.7139,0.2569,3.8627,2.3527,6.3828,-56.9371,557.1733,385.5203,565.9702,395.5216,水层
1243.25,9.4366,11.6599,0.0743,92.1528,81.4105,5.9599,5.7591,6.0994,6.1584,0.8853,4.6046,58.7033,0.2604,3.9831,2.3507,6.4192,-56.9382,556.7542,385.4953,565.5454,395.1096,水层
1243.28125,9.4322,11.8528,0.077,92.233,81.4102,5.9258,5.7371,6.2178,6.182,0.8885,5.2084,58.6981,0.2632,4.1596,2.3468,6.4313,-56.9382,555.9362,385.4861,565.1385,394.6859,水层
1243.3125,9.4278,12.0872,0.0788,92.2529,81.5407,5.8808,5.6935,6.2658,6.2177,0.8869,6.7153,58.6867,0.2644,4.2558,2.343,6.4557,-56.9391,555.5183,385.4691,564.722,394.2765,水层
1243.34375,9.4453,12.2682,0.0743,92.3932,81.6712,5.825,5.6395,6.3141,6.2296,0.8869,7.9856,58.6694,0.2656,4.2919,2.3402,6.4802,-56.9841,555.0936,385.8547,564.3068,393.4579,水层
1243.375,9.4714,12.2889,0.0677,92.4332,81.7363,5.7477,5.5647,6.3629,6.2294,0.8861,8.331,58.6694,0.2663,4.2276,2.3364,6.4801,-56.9844,554.6866,385.8442,563.8917,393.042,水层
1243.40625,9.502,12.0735,0.0625,92.5134,81.8667,5.7148,5.5224,6.4119,6.2294,0.8892,8.6413,58.6573,0.2655,4.1754,2.3332,6.4308,-57.0289,554.6635,385.8284,563.4711,392.6261,水层
1243.4375,9.5369,11.7967,0.0561,92.6137,81.9972,5.6931,5.5013,6.4118,6.2413,0.8884,8.8602,58.6505,0.2649,4.1192,2.3306,6.3697,-57.0734,554.6526,385.0085,563.4546,392.2036,水层
1243.46875,9.5499,11.5733,0.0511,92.6939,81.9969,5.6497,5.4803,6.3626,6.2292,0.8867,9.1022,58.6377,0.2644,4.0349,2.3272,6.2376,-57.1178,555.0403,383.395,563.4409,391.3903,水层
1243.5,9.5717,11.3269,0.0464,92.794,81.931,5.6174,5.4593,6.2411,6.2291,0.8859,8.9284,58.6309,0.2645,3.9746,2.3248,6.1315,-57.1185,556.6202,382.579,563.8192,390.1689,水层
1243.53125,9.5935,11.1418,0.0444,92.834,81.865,5.5747,5.4488,6.1812,6.1812,0.8851,8.5087,58.6188,0.2645,3.8903,2.3217,6.0849,-57.0756,558.2069,381.363,564.2083,389.761,水层
1243.5625,9.6023,10.9854,0.0416,92.9142,81.7993,5.564,5.4383,6.0866,6.1337,0.8844,8.14,58.6067,0.265,3.8622,2.3201,5.9814,-56.9454,559.3908,380.1443,566.1896,388.9463,水层
1243.59375,9.6197,10.8817,0.039,92.9542,81.6022,5.5427,5.4278,6.0631,6.0748,0.8827,7.6979,58.6409,0.2654,3.7819,2.3179,5.902,-56.8582,562.571,378.5178,567.7762,387.7263,水层
1243.625,9.6415,10.8027,0.0378,92.9942,81.34,5.5321,5.4174,6.0281,6.0165,0.8827,7.336,58.6348,0.2656,3.7297,2.3153,5.8908,-56.7279,564.9537,378.1098,571.3593,387.3157,水层
1243.65625,9.6546,10.7205,0.0362,93.0743,81.0777,5.511,5.3864,5.9933,5.9933,0.8819,6.9777,58.6576,0.2662,3.6855,2.3129,5.8238,-56.6412,567.3392,377.6966,573.3431,386.4998,水层
1243.6875,9.6633,10.6702,0.0352,93.1143,80.6188,5.5004,5.3864,5.9587,5.9358,0.8812,6.6497,58.6576,0.2664,3.6212,2.3115,5.7685,-56.5979,569.3245,377.6796,576.1246,386.08,水层
1243.71875,9.6632,10.6104,0.0348,93.1743,80.4221,5.4793,5.3863,5.9357,5.9129,0.8796,7.2374,58.6865,0.2669,3.5811,2.3097,5.7355,-56.4674,571.3099,377.6651,578.1085,386.4669,水层
1243.75,9.6588,10.5848,0.0392,93.2344,79.8972,5.4793,5.3657,5.9242,5.89,0.8741,7.072,58.751,0.2671,3.5449,2.3083,5.8567,-56.337,573.6939,378.8496,580.8871,387.6501,水层
1243.78125,9.6457,10.5999,0.0436,93.3546,79.8972,5.4687,5.3553,5.9013,5.8786,0.8741,6.192,58.751,0.2672,3.5087,2.3065,5.9126,-56.2502,576.874,380.0341,582.8779,389.2333,水层
1243.8125,9.6457,10.6006,0.0468,93.3344,79.6348,5.4582,5.3451,5.9126,5.8785,0.8733,5.8683,58.7397,0.2672,3.4967,2.3097,6.0261,-56.1631,579.2511,381.616,586.4579,391.6166,水层
1243.84375,9.6413,10.5759,0.0492,93.2939,79.5035,5.427,5.3348,5.9467,5.8784,0.8765,5.453,58.7291,0.2672,3.5608,2.3119,6.0721,-56.1202,580.4445,383.602,588.8433,393.6038,水层
1243.875,9.6238,10.5686,0.0522,93.233,79.3721,5.4269,5.3245,5.958,5.8896,0.8716,4.7745,58.7185,0.2672,3.6691,2.3143,6.1184,-55.9898,583.2202,387.1842,590.8271,397.1861,水层
1243.90625,9.615,10.6148,0.0568,93.2128,79.2408,5.4165,5.3244,5.9695,5.8782,0.8701,4.5065,58.7534,0.2669,3.7373,2.3179,6.165,-55.9905,584.8096,391.1678,593.6056,400.7709,水层
1243.9375,9.6063,10.7408,0.059,93.1925,79.1749,5.3958,5.3243,5.9809,5.8895,0.8693,4.3494,58.7019,0.2665,3.7773,2.3223,6.2002,-55.9036,587.5922,395.1541,593.9946,403.9556,水层
