Depth,AC,CAL,CNL,GR,MINV,MNOR,R025,R045,R25,R4,RA05,RILD,RILM,RL3D,RL3S,RLL8,RM,SP,result
1462.8125,92.2396,8.4826,31.323,98.3964,6.1249,6.3665,1.4729,1.8842,4.1493,3.8201,4.8732,2.1211,2.5417,12.2613,12.444,11.5166,0.975,6.1577,油层
1462.84375,92.3585,8.4826,29.6998,97.6649,6.0733,6.4551,1.662,2.1806,4.2552,4.4471,5.1093,2.246,2.6662,12.3615,12.9528,12.0136,0.975,6.0459,油层
1462.875,92.4774,8.4826,28.8638,96.9333,5.9959,6.5051,1.8511,2.477,4.3612,5.214,5.5298,2.3804,2.848,12.4618,13.4616,12.7649,0.975,5.9342,油层
1462.90625,92.5963,8.4826,28.2919,96.2503,5.9695,6.5045,2.0383,2.7726,4.4904,5.8282,6.0109,2.5198,3.0499,12.5389,13.9265,12.859,0.975,5.8291,油层
1462.9375,92.7152,8.4851,27.4301,95.7626,5.9688,6.5164,2.2255,3.0682,4.7132,6.5397,6.5515,2.67,3.2753,12.5228,14.2152,12.6975,0.975,5.7505,油层
1462.96875,92.834,8.4975,27.2505,95.2749,5.9546,6.5276,2.4459,3.2397,4.9361,7.1176,7.1811,2.8288,3.5428,12.5067,14.5038,12.4915,0.975,5.672,油层
1463.0,92.9529,8.51,27.0109,94.7872,5.9283,6.5401,2.6663,3.4113,5.1589,7.4885,7.87,2.9934,3.8384,12.4906,14.7925,12.3341,0.975,5.5935,油层
1463.03125,93.1538,8.5224,26.987,94.1776,5.9277,6.5901,2.9766,3.5218,5.7639,7.8086,8.4962,3.1792,4.2184,12.4395,14.6632,12.112,0.975,5.6088,油层
1463.0625,93.3546,8.5224,27.5898,93.568,5.9272,6.6912,3.2868,3.6324,6.3688,8.0905,9.1193,3.4061,4.6434,12.3883,14.5338,11.9811,0.975,5.6242,油层
1463.09375,93.5555,8.5224,28.2168,92.9583,5.9135,6.8174,3.6002,3.9478,6.9738,8.1177,9.7377,3.6947,5.1358,12.0712,14.4045,11.7659,0.975,5.6395,油层
1463.125,93.7849,8.5224,28.9873,92.3487,5.9507,6.8804,3.9135,4.2632,8.2879,7.9547,10.2388,4.0496,5.5387,11.8806,14.2632,11.5543,0.975,5.7055,油层
1463.15625,94.0215,8.5224,29.5862,91.7391,6.0138,6.9306,4.1873,4.8058,9.7785,7.8549,10.6831,4.4329,5.9087,12.3253,14.1189,11.492,0.975,5.7841,油层
1463.1875,94.2581,8.5224,30.1851,91.1294,6.1528,6.9806,4.461,5.3485,11.269,7.768,11.0166,4.8639,6.2353,12.4767,13.9746,11.4513,0.975,5.8626,油层
1463.21875,94.7094,8.5224,30.7241,90.9598,6.2157,6.9796,4.5851,5.9146,12.6375,7.7187,11.2053,5.3358,6.6064,13.3419,14.3688,11.4738,0.975,5.957,油层
1463.25,95.3029,8.5187,31.2742,91.0816,6.0239,6.9409,4.7091,6.4808,13.9251,7.7715,11.2971,5.835,7.0071,14.7446,15.1196,11.4964,0.975,6.0618,油层
1463.28125,95.8964,8.5124,31.7554,91.2033,5.5011,6.558,4.8531,7.2743,15.2128,7.9008,11.2367,6.1655,7.5102,16.1474,15.8703,11.6464,0.975,6.1666,油层
1463.3125,96.567,8.5062,32.1043,91.4223,4.2263,6.1878,4.9971,8.0679,16.3655,8.0301,11.1386,6.4882,8.0005,18.0927,17.2884,12.2607,0.975,6.2662,油层
1463.34375,97.3539,8.5,32.4171,91.7881,4.2261,5.996,5.1855,8.7937,17.3146,8.1594,10.984,6.7991,8.4716,20.857,19.7139,13.862,0.975,6.3578,油层
1463.375,98.1408,8.4938,32.7058,92.1539,4.9891,5.6258,5.374,9.5194,18.2636,8.2882,10.8923,7.1967,8.8022,23.6212,22.1394,15.2764,0.975,6.4494,油层
1463.40625,99.2315,8.4876,32.9946,92.5683,5.4341,5.4978,5.5625,10.2959,19.265,8.4175,10.8269,7.6216,9.0812,26.0957,24.4455,16.9587,0.975,6.5411,油层
1463.4375,101.5432,8.4863,32.9226,93.1779,5.8024,5.8788,5.751,11.0724,20.4768,8.4193,10.8041,8.0691,9.2929,27.4053,26.2718,18.7923,0.975,6.6335,油层
1463.46875,103.8549,8.505,32.6223,93.7876,5.9034,6.247,5.6978,11.7306,21.6885,7.8998,10.8726,8.5465,9.5061,28.7148,28.098,20.5206,0.975,6.7258,油层
1463.5,106.1665,8.5236,32.4422,94.3972,5.5835,6.4629,5.6446,12.3888,22.9003,7.4186,11.002,9.0439,9.6182,30.0244,29.9243,23.7599,0.975,6.8182,油层
1463.53125,109.2159,8.5423,32.5506,95.1288,5.5835,6.8566,5.3989,12.0394,24.1369,7.0771,11.0295,9.4801,9.4956,31.5224,32.6108,29.4926,0.975,6.9334,油层
1463.5625,112.2652,8.5485,32.9835,95.8603,5.4171,7.1486,5.1532,11.69,25.3734,6.8378,11.009,9.9259,9.3625,33.0203,35.2972,43.9667,0.975,7.0486,油层
1463.59375,115.3145,8.5547,32.2251,96.5919,5.212,7.288,4.9255,11.0701,26.61,6.6737,10.9164,10.3862,9.1338,34.5183,37.9837,45.7741,0.975,7.1638,油层
1463.625,119.7237,8.561,31.8212,97.6163,5.1607,7.4019,4.6977,10.4501,27.5862,6.3326,10.6156,10.9853,9.0084,36.0383,41.1076,62.2631,0.975,7.407,油层
1463.65625,124.4712,8.5771,31.5128,98.7137,5.3508,7.5157,4.592,9.8315,28.4976,6.0544,10.2721,11.4127,8.8537,37.5638,44.3403,75.0554,0.975,7.6821,油层
1463.6875,129.2187,8.5958,31.0967,99.811,6.6615,6.6615,4.4864,9.2128,29.409,5.713,9.9653,11.0117,8.7488,39.0894,51.2071,85.4837,0.975,7.9572,油层
1463.71875,132.2231,8.6145,30.8601,100.9075,7.4755,7.4755,4.5659,8.7043,30.473,5.3461,9.4938,10.1677,8.6768,37.9501,50.9206,89.4979,0.975,8.2321,油层
1463.75,134.0729,8.6294,31.0936,102.0036,9.8305,9.8305,4.6454,8.1957,31.638,5.0684,8.9123,9.0277,8.6364,35.046,43.619,94.7372,0.975,8.5068,油层
1463.78125,135.9228,8.6418,33.1543,103.0996,12.1217,12.1217,4.7156,8.8236,32.803,5.0193,8.3308,8.0793,8.6441,30.1587,38.1587,93.7152,0.975,8.7815,油层
1463.8125,138.315,8.6542,34.7169,104.3419,12.9486,12.9486,4.7858,9.4516,33.8471,5.0726,7.7651,7.1397,8.6524,27.1111,36.0,85.3732,0.975,9.066,油层
1463.84375,141.5259,8.6667,36.3257,105.805,13.508,14.768,4.8559,9.9672,34.7089,5.0997,7.2228,6.2132,8.676,22.2906,19.5994,77.7754,0.975,9.3651,油层
1463.875,144.7368,8.6791,38.8026,107.2681,13.9529,14.7546,4.9261,10.4366,35.5706,5.1271,6.7953,5.566,8.6837,16.4955,15.1064,69.8224,0.975,9.6643,油层
1463.90625,147.9065,8.6915,41.3117,108.8526,14.3849,14.3849,5.0468,10.2492,36.3476,4.8623,6.4666,5.016,8.6597,11.7026,11.348,62.1131,0.975,9.9334,油层
1463.9375,150.9105,8.7027,43.0823,110.9254,7.0114,7.0114,5.1675,10.3038,36.784,4.5968,6.4202,4.5778,8.5571,10.9381,10.5424,54.6503,0.975,10.0818,油层
1463.96875,153.9145,8.709,44.8172,112.9981,5.9026,5.9026,4.9544,10.8416,37.2203,4.1919,6.4652,4.1505,7.6171,10.1736,9.7367,40.1146,0.975,10.2303,油层
1464.0,156.9185,8.7152,46.5283,115.0709,5.3416,5.3416,4.7412,11.3411,37.6566,3.8629,6.5711,3.7303,6.307,9.4091,8.9311,33.1041,0.975,10.3787,油层
1466.8125,88.1479,8.3358,21.441,110.1958,5.6981,7.5674,4.3483,8.9581,5.896,2.8838,9.278,6.581,8.2302,9.5826,8.7844,10.4045,0.9649,9.8207,差油层
1466.84375,88.1921,8.3483,21.179,109.7081,5.9904,7.5674,4.2824,8.4816,6.0008,2.8069,9.1823,6.5521,8.2302,9.7541,9.1756,10.7345,0.9596,9.6363,差油层
1466.875,88.2362,8.3607,21.1461,109.2204,6.4352,7.5674,4.2165,8.0051,6.1056,2.7765,9.1005,6.4282,8.1548,9.9256,9.5668,11.0754,0.9543,9.452,差油层
1466.90625,88.2315,8.3731,21.2934,108.7569,7.0458,7.5674,4.1144,8.1639,6.2152,2.7615,9.0221,6.2956,8.0544,10.0504,9.958,11.3647,0.95,9.2809,差油层
1466.9375,88.0306,8.3843,21.6089,108.3912,5.937,7.5796,4.0123,8.3227,6.3442,2.7615,8.9435,6.2241,7.929,9.9875,10.3492,11.6823,0.95,9.1629,差油层
1466.96875,87.8296,8.3906,21.8035,108.0254,5.2102,7.1967,3.8707,7.9335,6.4733,2.8085,8.9121,6.1261,7.8252,9.9247,10.7404,11.7053,0.95,9.0449,差油层
1467.0,87.6286,8.3968,21.7829,107.6596,4.5981,6.6353,3.7291,7.5443,6.6023,2.887,8.9121,6.0104,7.7359,9.8618,11.1316,11.2242,0.95,8.9269,差油层
1467.03125,87.4754,8.403,21.547,107.2938,4.2662,6.4311,3.5716,7.2468,6.7585,3.0188,8.9655,6.0104,7.5612,9.7053,11.0666,10.7629,0.95,8.8712,差油层
1467.0625,87.3221,8.403,21.3462,106.928,5.2457,6.1374,3.414,6.9492,6.9146,3.1601,9.0805,6.0196,7.389,9.5488,11.0016,10.3398,0.95,8.8154,差油层
1467.09375,87.1689,8.403,21.122,106.5623,5.7925,5.8055,3.2451,6.6834,7.0708,3.3155,9.2876,6.0425,7.2206,9.3924,10.9366,9.8066,0.95,8.7597,差油层
1467.125,86.8803,8.403,20.838,106.1965,6.0848,6.6705,3.0762,6.4177,7.178,3.5737,9.4745,6.1604,7.0778,9.2271,10.673,9.4204,0.95,8.8027,差油层
1467.15625,86.5581,8.398,20.5416,105.8307,6.0584,7.1663,2.954,6.1519,7.273,3.8531,9.651,6.2882,6.9685,9.0596,10.36,8.7888,0.95,8.8702,差油层
1467.1875,86.2358,8.3918,20.2576,105.4649,5.6628,6.9999,2.8319,5.8862,7.368,4.1152,9.8064,6.3607,6.9685,8.8921,10.0471,8.4897,0.95,8.9377,差油层
1467.21875,86.1074,8.3856,19.9139,105.3192,5.3437,6.6171,2.8159,5.6266,7.4295,4.3886,10.0088,6.4339,6.983,8.6971,9.7344,8.3212,0.95,8.9646,差油层
1467.25,86.1074,8.3682,19.6416,105.3192,4.8843,6.0558,2.8,5.3671,7.4686,4.6695,10.2427,6.5077,7.0073,8.4838,9.4218,8.0526,0.95,8.9646,差油层
1467.28125,86.1074,8.3433,19.4408,105.3192,4.6798,5.6729,3.0206,5.3032,7.5078,5.0587,10.4436,6.6602,7.1715,8.2705,9.1091,7.8643,0.95,8.9646,差油层
1467.3125,86.1671,8.3184,19.157,105.4164,5.7741,5.2137,3.2412,5.2393,7.5511,5.4832,10.6571,6.815,7.3833,8.1348,8.9188,7.5974,0.95,8.9646,差油层
1467.34375,86.3168,8.301,19.3762,105.6602,6.4097,6.4097,3.5361,5.4102,7.6005,5.9603,10.8893,6.9732,7.6666,7.751,8.9131,7.5975,0.95,8.9646,差油层
1467.375,86.4665,8.2948,19.8465,105.904,6.6128,6.6128,3.831,5.5811,7.6499,6.4897,11.0875,7.2038,7.9417,7.6874,8.9075,7.8245,0.95,8.9646,差油层
1467.40625,86.6335,8.2886,20.5214,106.0993,6.3827,6.3827,4.1459,6.0319,7.705,7.0397,11.2466,7.2209,8.2433,7.6239,8.9477,7.9265,0.95,8.9548,差油层
1467.4375,86.87,8.2886,20.8837,106.0993,6.0253,7.2092,4.4608,6.4827,7.783,7.6203,11.2827,7.4646,8.6593,7.751,9.1726,8.254,0.95,8.9055,差油层
1467.46875,87.1066,8.3134,21.3186,106.0993,5.668,6.8902,4.7441,7.1655,7.8611,8.1088,11.1794,7.7456,9.111,8.4279,9.3976,8.3302,0.95,8.8562,差油层
1467.5,87.3431,8.3383,21.98,106.0993,5.2467,6.5967,5.0273,7.8482,7.9392,8.5357,10.9832,8.1866,9.5864,8.5848,9.6225,8.5638,0.95,8.8069,差油层
1467.53125,87.5228,8.3632,22.2795,106.0993,5.0167,6.2902,5.1383,8.4762,8.0173,8.8922,10.8655,8.5415,9.927,8.7118,9.8277,8.7228,0.95,8.7378,差油层
1467.5625,87.7025,8.413,22.6388,106.0993,4.9651,6.0473,5.2493,9.1043,8.0954,9.0159,10.7636,8.8643,10.1563,8.8387,10.0329,9.083,0.95,8.6687,差油层
1467.59375,87.8821,8.4627,22.8784,106.0993,5.308,5.7537,5.0498,10.1112,8.1734,8.968,10.6851,9.1136,10.2188,8.9657,10.2381,9.1671,0.95,8.5997,差油层
1467.625,87.7285,8.5125,22.9887,106.3922,5.4216,5.9056,4.8503,11.1182,8.2515,8.8403,10.6418,9.3879,10.0665,9.0632,10.402,9.5106,0.95,8.5931,差油层
1467.65625,87.492,8.5473,22.8283,106.758,5.3826,6.0831,4.4323,10.3702,8.3296,8.6362,10.5676,9.5476,9.8969,9.1533,10.5556,9.6519,0.95,8.6022,差油层
1467.6875,87.2554,8.5784,21.8185,107.1238,5.229,6.273,4.0143,9.6221,8.4077,8.4067,10.3337,9.5689,9.873,9.2434,10.7092,9.8315,0.95,8.6112,差油层
1467.71875,87.0191,8.6095,20.519,107.6358,4.9983,6.3488,3.789,8.5199,8.5145,8.228,10.0999,9.59,9.8098,9.1747,10.4883,10.0698,0.95,8.6805,差油层
1467.75,86.7828,8.6331,19.225,108.2447,4.9597,6.3225,3.5636,7.4177,8.6402,8.0749,9.8661,9.5232,9.7203,9.0008,10.0195,10.0527,0.95,8.7897,差油层
