Depth,AC,CALI,CALS,CNGR,DRHO,DT,GR,HAC,ILD,ILM,LLD,LLS,MRES,MSFL,MTEM,NPHI,PD,PEF,RHOB,RLLD,RLLS,SFLU,SP,TT1,TT2,TT3,TT4,result
2007.00875,-99999.0,8.9609,9.0007,108.0216,0.1064,77.9133,101.8549,-99999.0,10.559,10.2296,10.5407,11.5309,1.2221,17.5,71.1875,0.1845,-99999.0,3.041,2.3839,-99999.0,-99999.0,8.6709,12.9336,505.0,358.25,509.5,365.5,差油层
2007.04,-99999.0,8.7109,8.8341,104.5368,0.1134,76.545,101.3197,-99999.0,9.651,10.0344,10.312,11.4481,1.2228,9.4646,71.1507,0.1809,-99999.0,2.8418,2.4205,-99999.0,-99999.0,10.0469,12.9407,505.9992,364.9946,509.5,375.492,差油层
2007.07125,-99999.0,8.7266,8.8713,103.577,0.1163,75.7857,103.4087,-99999.0,9.1898,9.5065,10.7157,12.0773,1.2248,6.3395,71.0882,0.1746,-99999.0,2.8105,2.4375,-99999.0,-99999.0,12.0185,13.1096,508.25,362.0,514.0,377.0,差油层
2007.1025,-99999.0,8.8438,8.8768,106.0473,0.1118,76.1178,98.7612,-99999.0,9.3616,9.1589,12.2358,13.6458,1.2262,5.1562,71.1731,0.1582,-99999.0,2.8223,2.4473,-99999.0,-99999.0,12.3205,13.1717,504.25,359.5,512.0,371.5,差油层
2007.13375,-99999.0,8.8594,8.8072,105.3661,0.1097,75.4987,86.3234,-99999.0,9.9139,9.7417,14.7114,16.103,1.226,5.0273,71.25,0.1538,-99999.0,2.8223,2.4761,-99999.0,-99999.0,10.6289,12.9184,499.5,354.75,511.5,364.25,差油层
2007.165,-99999.0,8.8593,8.5486,98.2974,0.1126,74.0785,73.901,-99999.0,10.494,11.1715,18.037,19.183,1.2256,5.0547,71.25,0.1678,-99999.0,2.8965,2.5302,-99999.0,-99999.0,10.9657,12.741,501.75,342.75,511.0,351.5,差油层
2007.19625,-99999.0,8.7578,8.3938,87.1643,0.1022,71.7394,73.594,-99999.0,10.8893,12.4136,18.0748,18.907,1.2256,5.168,71.25,0.1831,-99999.0,2.9043,2.5891,-99999.0,-99999.0,15.4205,12.7636,500.0,344.0,507.5,353.0,差油层
2007.2275,-99999.0,8.711,8.4832,79.0002,0.0798,69.2686,82.9061,-99999.0,10.7566,12.5974,15.64,16.4855,1.2256,5.1797,71.25,0.1726,-99999.0,3.0117,2.6051,-99999.0,-99999.0,24.4596,13.009,494.25,346.0,500.5,358.0,差油层
2007.25875,-99999.0,8.8359,8.5978,83.5443,0.0707,69.9429,95.4655,-99999.0,10.8509,11.5579,13.2599,14.2192,1.2256,5.1173,71.2129,0.1576,-99999.0,3.0176,2.587,-99999.0,-99999.0,25.856,13.4173,496.2484,341.5036,500.0004,353.004,差油层
2007.29,-99999.0,8.8594,8.7394,89.5893,0.0692,71.6491,101.4704,-99999.0,11.0505,10.9283,11.4745,12.2059,1.2262,4.9258,71.2246,0.1526,-99999.0,2.9824,2.5677,-99999.0,-99999.0,16.7364,13.7235,503.0,340.75,509.0,350.75,差油层
2007.32125,-99999.0,8.8594,8.8218,93.8951,0.0738,73.7195,101.3784,-99999.0,11.057,10.9718,10.6182,10.964,1.2248,4.8555,71.25,0.1618,-99999.0,2.9707,2.5596,-99999.0,-99999.0,11.1784,13.8497,496.755,341.4994,502.755,349.501,差油层
2007.3525,-99999.0,8.8594,8.8235,96.914,0.0745,75.0558,101.125,-99999.0,10.687,10.9392,10.3226,10.5133,1.2242,5.0,71.25,0.1722,-99999.0,2.7715,2.5598,-99999.0,-99999.0,11.0067,13.9494,493.5,354.25,500.0,362.25,差油层
2007.38375,-99999.0,8.8594,8.8714,100.714,0.079,75.7665,106.2599,-99999.0,10.365,10.183,10.1352,10.4415,1.2252,5.2852,71.25,0.1759,-99999.0,2.6934,2.5545,-99999.0,-99999.0,11.707,14.1116,493.0004,357.4974,498.751,365.997,差油层
2007.415,-99999.0,8.875,8.9156,103.6934,0.066,76.1628,109.6754,-99999.0,10.1884,9.7503,10.3612,10.7821,1.2256,5.8086,71.25,0.1649,-99999.0,2.6973,2.5301,-99999.0,-99999.0,10.7258,14.1502,494.25,354.0,500.5,363.0,差油层
2007.44625,-99999.0,8.8594,8.9219,96.1455,0.0604,75.7276,102.6481,-99999.0,10.1627,10.1449,12.2979,12.3699,1.2256,6.1594,71.2873,0.1526,-99999.0,2.9064,2.5277,-99999.0,-99999.0,9.0441,13.8638,501.75,350.75,509.0,358.25,差油层
2007.4775,-99999.0,8.8594,8.9219,87.7176,0.0556,72.2556,90.8765,-99999.0,9.4215,11.1828,15.0473,14.8028,1.2256,6.2927,71.3125,0.145,-99999.0,3.1445,2.5417,-99999.0,-99999.0,14.7998,13.2765,496.0,332.25,499.5,342.25,差油层
2007.50875,-99999.0,8.8595,8.9546,86.4464,0.0665,72.922,88.0314,-99999.0,8.6738,10.0342,14.8925,14.8104,1.2256,6.0977,71.3125,0.1668,-99999.0,3.2462,2.5514,-99999.0,-99999.0,20.2503,12.8505,501.5,335.5,507.5,346.75,差油层
2007.54,-99999.0,8.9922,9.1498,94.9934,0.0785,75.8351,97.5537,-99999.0,8.111,8.5475,12.2973,12.3765,1.2256,5.9336,71.275,0.2051,-99999.0,3.4121,2.5406,-99999.0,-99999.0,14.8371,12.75,512.0,336.25,518.5,348.75,差油层
2007.57125,-99999.0,9.5003,9.5139,109.5431,0.1125,79.1618,111.9453,-99999.0,7.4965,7.5704,9.3451,9.3998,1.2256,5.9297,71.25,0.2416,-99999.0,3.3125,2.4975,-99999.0,-99999.0,8.6709,13.1623,520.5,340.25,533.5,355.5,差油层
2007.6025,-99999.0,9.8828,9.9845,118.0447,0.1356,81.7204,118.6252,-99999.0,6.8947,6.7555,7.1618,7.2051,1.2233,5.957,71.25,0.2637,-99999.0,3.3516,2.3993,-99999.0,-99999.0,6.4705,13.4774,519.5008,356.9866,529.5032,365.492,差油层
2007.63375,-99999.0,10.8287,10.6525,125.5223,0.1532,83.5446,120.2148,-99999.0,6.293,5.9247,6.0596,6.0651,1.2217,6.0,71.25,0.2795,-99999.0,3.3359,2.3093,-99999.0,-99999.0,5.8511,13.3536,524.0,372.0,536.5,390.0,差油层
