Depth,AC,CALI,DFL,DRHO,DT,GR,HAC,HRID,HRIM,LLD,LLS,MSFL,NPHI,PD60,PE,RHOB,SP,result
1692.44375,373.7193,8.7624,8.1431,0.2469,82.9405,104.6612,371.0105,5.03,5.2147,7.1295,7.9852,8.5127,0.2136,148.0588,4.5026,2.6295,-19.8001,干层
1692.475,374.8557,8.7575,8.069,0.2291,82.8359,107.2058,370.5042,5.0268,5.1873,7.1769,7.7928,6.9176,0.2112,143.5531,4.2796,2.6052,-19.905,干层
1692.50625,375.4868,8.7477,8.2896,0.2274,82.7219,107.1507,369.8712,4.9646,5.1124,7.5449,7.7358,6.5519,0.2001,142.7432,4.0171,2.597,-19.9762,干层
1692.5375,375.7383,8.7406,7.7786,0.2296,83.3647,105.3318,369.7443,4.8056,4.9532,7.913,8.0824,6.7448,0.1985,140.0102,3.8554,2.5899,-19.9905,干层
1692.56875,375.7375,8.7433,6.9681,0.1992,85.15,103.435,370.2491,4.5041,4.6584,7.3622,7.7814,7.4226,0.2152,136.619,3.7024,2.5609,-19.9428,干层
1692.6,375.3571,8.7662,5.7277,0.1497,87.9218,103.8633,372.5233,4.0978,4.2573,6.3174,6.6011,10.5062,0.2269,133.2784,3.6543,2.5355,-19.838,干层
1692.63125,374.9773,8.804,4.6365,0.1441,90.4437,107.0589,374.9238,3.7145,3.8779,5.3368,5.4741,9.6386,0.2286,129.837,3.6805,2.5559,-19.7572,干层
1692.6625,374.5972,8.841,4.0554,0.1908,91.6523,111.9713,376.6926,3.4738,3.6454,4.5812,4.8181,5.7024,0.2287,125.3327,3.6867,2.5877,-19.7955,干层
1692.69375,374.0907,8.8487,3.8331,0.218,91.336,116.7964,378.2087,3.4476,3.6366,4.185,4.3403,4.5491,0.2298,121.8411,3.6752,2.5484,-20.0,干层
1692.725,372.9521,8.8339,4.2395,0.2299,88.8141,118.1761,375.3009,3.684,3.9069,4.1427,4.1936,4.3711,0.2375,118.3486,3.7516,2.4794,-20.3291,干层
1692.75625,371.6873,8.8143,5.7781,0.2716,84.1511,113.5006,371.8875,4.2527,4.5269,4.7454,4.882,4.2542,0.2454,115.1596,4.1937,2.4799,-20.7434,干层
1692.7875,370.296,8.8001,8.5755,0.2777,78.6609,103.1539,368.095,5.2394,5.5833,6.1592,6.4614,5.3115,0.245,112.5779,4.3764,2.5041,-21.1437,干层
1692.81875,368.3992,8.8126,13.5762,0.2558,73.1003,90.3097,366.0723,6.6896,7.1145,8.1636,8.5962,7.552,0.2267,109.6924,4.3832,2.5486,-21.4859,干层
1692.85,366.6288,8.8312,20.5064,0.2618,68.7714,79.3502,362.7853,8.3704,8.8694,11.1413,11.6412,10.1606,0.1983,106.2003,4.4951,2.6177,-21.6857,干层
1692.88125,363.7208,8.8552,25.5847,0.2815,67.0969,73.6513,359.8775,9.5429,10.0412,16.1959,16.8865,11.1942,0.1666,103.163,4.6854,2.6614,-21.7428,干层
1692.9125,359.8014,8.8886,25.8092,0.2599,68.5711,74.476,357.4755,9.275,9.6816,20.7835,22.2118,10.3001,0.146,101.3904,4.4588,2.6534,-21.6854,干层
1692.94375,357.6522,8.9444,17.4979,0.2063,73.0703,82.6585,355.1996,7.7165,7.9959,18.8744,22.1874,13.5545,0.1447,99.6175,4.1146,2.633,-21.4611,干层
1692.975,354.4914,9.0207,9.6597,0.1568,78.6363,99.0058,353.3032,5.9447,6.1492,13.0834,16.0334,16.6551,0.1479,97.5415,3.9371,2.6098,-21.1328,干层
1693.00625,351.0778,9.0993,6.2127,0.1734,83.9006,122.1891,350.0159,4.624,4.7946,8.9157,10.5007,10.3385,0.1549,97.2862,3.9608,2.5741,-20.7571,干层
1693.0375,348.0434,9.1571,4.5938,0.2273,89.4344,147.6834,348.3723,3.7987,3.9558,6.5741,7.5783,5.5239,0.1723,97.7366,4.1011,2.55,-20.4091,干层
1693.06875,344.6298,9.1675,3.9826,0.2442,94.0216,169.0629,345.2118,3.3317,3.4816,5.0118,5.7199,3.8753,0.1999,97.7864,4.1064,2.5464,-20.0854,干层
1693.1,342.3538,9.1417,3.8328,0.2249,96.3484,182.3302,341.1664,3.0978,3.2423,4.0058,4.6049,3.3965,0.2438,97.9855,3.8043,2.5468,-19.8283,干层
1693.13125,339.8251,9.1189,3.92,0.2104,96.956,187.35,337.7531,3.0177,3.1579,3.5866,4.1308,3.4052,0.286,98.1361,3.6755,2.5374,-19.6951,干层
1693.1625,337.8017,9.1102,4.2684,0.2213,96.2279,185.5648,334.7188,3.0541,3.1875,3.5993,4.096,3.4633,0.2946,98.1843,3.8133,2.533,-19.6095,干层
1693.19375,335.2728,9.0921,4.7728,0.2505,94.7719,179.0246,331.9376,3.1865,3.3109,3.9723,4.3742,3.3878,0.274,98.3324,3.9917,2.5188,-19.538,干层
1693.225,333.6287,9.0304,5.2654,0.2674,93.4909,169.6056,329.0298,3.382,3.4939,4.5313,4.9024,3.5391,0.2582,98.4324,4.0377,2.5108,-19.4857,干层
1693.25625,332.4902,8.9478,6.046,0.2501,92.4594,158.2892,324.9843,3.5726,3.6726,5.065,5.5012,3.9012,0.2579,98.4802,3.8903,2.5154,-19.4571,干层
1693.2875,331.4782,8.8667,6.0401,0.2278,92.0816,147.0218,321.8239,3.683,3.7765,5.4869,6.0845,4.5004,0.256,98.6295,3.7185,2.5317,-19.4476,干层
1693.31875,330.7187,8.8268,5.6073,0.2155,92.8758,138.4872,317.9049,3.6998,3.7956,5.5174,6.0768,4.9929,0.2493,98.6777,3.7385,2.5303,-19.4333,干层
1693.35,330.2121,8.8263,5.3005,0.2346,93.5125,134.4972,313.6068,3.7022,3.8066,5.2818,5.6952,4.7381,0.2493,98.827,3.9473,2.5384,-19.4572,干层
1693.38125,330.0847,8.8339,5.2723,0.2661,92.2662,134.4821,308.0447,3.8008,3.9181,5.2212,5.448,4.2031,0.2551,103.0206,4.2163,2.5363,-19.5334,干层
1693.4125,331.0947,8.8235,5.6562,0.283,90.1641,134.0113,299.702,4.067,4.1997,5.5865,5.6975,3.7086,0.2507,103.1719,4.4266,2.5226,-19.5953,干层
1693.44375,332.3577,8.8017,6.2697,0.2653,89.0762,129.0198,298.5637,4.4845,4.6351,6.2092,6.6108,3.7498,0.2526,109.2898,4.3491,2.5043,-19.6382,干层
1693.475,334.7581,8.799,7.2169,0.2451,88.2977,121.2868,298.3101,4.8993,5.0736,6.2384,7.1274,5.2298,0.2607,114.1433,4.3071,2.5344,-19.6857,干层
1693.50625,336.7794,8.8116,7.624,0.2169,86.3859,115.7659,306.0192,5.1263,5.3342,6.181,7.046,10.5718,0.2521,119.5022,4.344,2.5865,-19.7094,干层
1693.5375,339.1799,8.8356,7.2127,0.2083,83.9937,115.7292,314.3603,5.1801,5.4285,6.804,7.4355,14.6325,0.2239,128.4019,4.3755,2.6102,-19.6523,干层
1693.56875,341.8329,8.8218,7.1973,0.241,82.6719,119.9891,324.8501,5.2678,5.5615,7.5837,8.0059,8.7532,0.1975,137.6052,4.4594,2.593,-19.5761,干层
1693.6,343.4753,8.7607,7.81,0.2553,82.1704,122.7962,334.7078,5.5724,5.9336,7.6669,7.8467,5.3763,0.1967,144.1278,4.527,2.5349,-19.5429,干层
