Depth,AC,CALS,DRHO,DT,GR,HAC,ILD,ILM,LLD,LLS,MRES,MSFL,MTEM,NPHI,PD,PEF,RHOB,SFLU,SP,TT1,TT2,TT3,TT4,result
2269.975,224.5025,-99999.0,0.0823,-99999.0,-99999.0,238.342,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,6.9141,-99999.0,0.1504,139.886,5.2127,2.5076,-99999.0,-99999.0,503.2793,349.8924,497.6139,349.8924,差油层
2270.00625,223.3352,-99999.0,0.0955,-99999.0,-99999.0,236.8199,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,6.9219,-99999.0,0.1506,158.152,5.2179,2.5246,-99999.0,-99999.0,505.5046,350.8101,499.3995,350.8101,差油层
2270.0375,221.3981,-99999.0,0.1092,-99999.0,-99999.0,235.5514,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,6.8789,-99999.0,0.1513,171.836,5.4787,2.5416,-99999.0,-99999.0,507.2941,352.5917,502.0606,352.5917,差油层
2270.06875,219.2023,-99999.0,0.135,-99999.0,-99999.0,234.1561,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,7.3125,-99999.0,0.1521,178.554,5.7276,2.5537,-99999.0,-99999.0,509.9591,355.268,505.6011,355.268,差油层
2270.1,216.1105,-99999.0,0.1478,-99999.0,-99999.0,232.5068,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,7.9414,-99999.0,0.153,180.656,6.1007,2.5658,-99999.0,-99999.0,512.1922,357.0497,508.2584,357.0497,差油层
2270.13125,214.1734,-99999.0,0.1559,-99999.0,-99999.0,230.7307,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,8.7969,-99999.0,0.1546,176.565,6.6321,2.568,-99999.0,-99999.0,514.4137,359.2671,512.2347,359.2671,差油层
2270.1625,211.2078,-99999.0,0.1623,-99999.0,-99999.0,229.2084,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,9.2812,-99999.0,0.1547,160.787,9.9973,2.5703,-99999.0,-99999.0,517.071,362.8227,514.892,362.8227,差油层
2270.19375,208.8859,-99999.0,0.1646,-99999.0,-99999.0,228.1937,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,9.6797,-99999.0,0.1537,158.481,10.0558,2.5653,-99999.0,-99999.0,520.627,364.1609,518.8798,364.1609,差油层
2277.6,267.0722,8.7031,0.0508,68.969,84.125,270.6456,14.3264,16.1517,17.2683,16.3263,0.9663,11.3672,89.375,0.1425,165.1554,4.6114,2.6208,20.6577,76.7422,509.4046,366.0688,511.1317,366.0688,干层
2277.63125,265.9054,8.7188,0.0441,68.873,83.3125,273.3135,14.1844,16.6588,18.4101,17.1868,0.9668,11.5469,89.375,0.147,167.061,4.4773,2.6236,20.4528,76.9922,509.8711,365.687,512.0532,365.687,干层
2277.6625,264.7386,8.7344,0.0361,68.4679,77.1954,276.6164,13.2781,16.1717,19.5649,17.6914,0.9658,11.8516,89.3125,0.1506,168.183,4.3624,2.6264,21.9399,76.9942,511.236,364.4531,512.9747,364.4531,干层
2277.69375,263.3133,8.7266,0.0303,68.5641,82.125,277.5062,12.0511,14.5876,16.4077,14.7771,0.9673,12.6953,89.3125,0.154,163.368,4.2631,2.6252,22.0497,78.2344,512.142,364.48,514.3396,364.48,干层
2277.725,262.2748,8.7344,0.0232,69.7509,93.75,276.4912,10.9221,12.5343,13.3752,12.1934,0.9688,13.6094,89.5,0.1561,158.535,4.2218,2.624,18.6094,77.7344,513.5069,363.6549,515.2457,363.6549,干层
2277.75625,260.9798,8.75,0.0129,71.8588,108.0,276.1107,9.9219,10.8027,10.3747,9.5006,0.9683,14.5703,89.3125,0.1583,155.486,4.2554,2.6189,13.9391,77.4844,514.4168,363.2615,516.1594,363.2615,干层
2277.7875,259.6848,8.75,0.0131,74.74,118.375,276.1117,9.0951,9.5644,8.0167,7.4384,0.9678,14.2812,89.375,0.1594,149.344,4.2636,2.6139,10.6342,77.2422,516.2173,363.3038,516.6608,363.3038,干层
2277.81875,258.005,8.7578,0.0137,77.4056,120.0625,275.0964,8.405,8.5998,7.7082,7.0573,0.9692,13.875,89.4375,0.1595,146.054,4.3967,2.6079,8.8833,77.4844,517.1312,362.9105,517.1234,362.9105,干层
2277.85,255.8103,8.75,0.0169,78.9582,122.5625,271.1601,7.8229,7.9409,7.3338,6.767,0.9648,13.3906,89.4375,0.1581,143.666,4.6113,2.6019,7.8852,77.4844,518.0758,362.9681,517.1736,362.9681,干层
2277.88125,254.1306,8.7812,0.0169,79.9392,121.125,266.5885,7.3962,7.5336,7.0567,6.5192,0.9648,12.625,89.375,0.1543,138.151,4.9035,2.5951,7.3647,76.9922,518.0952,362.5748,516.3487,362.5748,干层
2277.9125,252.7073,8.7812,0.0238,79.9835,117.0,260.6199,7.1683,7.2937,7.4609,6.8074,0.9668,11.9742,89.375,0.1501,136.017,5.277,2.5883,7.2757,77.2422,518.1685,362.193,515.1035,362.193,干层
2277.94375,251.1559,8.7812,0.0345,79.2557,113.9953,254.6513,7.0984,7.2466,7.6581,7.0611,0.9668,11.4766,89.5001,0.1447,137.741,5.5419,2.5813,7.4235,77.4836,518.1879,362.694,514.7026,362.694,干层
2277.975,249.2176,8.7812,0.0412,78.3746,111.0625,251.2228,7.1476,7.403,7.9151,7.3215,0.9673,11.3359,89.5625,0.141,153.449,5.8069,2.5743,7.711,76.9922,516.5109,362.7247,513.442,362.7247,干层
2278.00625,247.9227,8.7656,0.0525,77.2298,113.0,248.6834,7.3099,7.7307,8.7313,8.026,0.9683,11.2734,89.4375,0.1368,161.851,6.1106,2.5668,8.1403,77.2422,515.6705,363.195,511.7573,363.195,干层
2278.0375,246.3671,8.7578,0.0597,75.7681,110.3125,246.906,7.4645,8.1284,9.8672,9.0852,0.9678,11.2031,89.4375,0.1327,172.054,6.4105,2.5593,8.9009,77.9844,514.4291,363.245,511.8036,363.245,干层
2278.06875,245.3328,8.7578,0.0637,74.5765,109.6813,245.6366,7.566,8.462,10.5226,9.6154,0.9668,12.2031,89.4375,0.1295,176.334,6.8113,2.5507,10.0013,78.234,513.5926,365.0529,510.9825,365.0529,干层
2278.1,244.9355,8.7578,0.0692,74.2171,105.8125,247.0345,7.6256,8.51,10.1195,9.2531,0.9668,13.4375,89.4375,0.1257,178.138,7.2003,2.5422,10.8902,77.9844,513.6389,365.0876,511.025,365.0876,干层
2278.13125,244.6623,8.7812,0.0762,74.7075,109.3125,248.4323,7.6585,8.2791,9.1532,8.3903,0.9663,15.0,89.375,0.123,177.238,8.6178,2.5404,10.7005,77.9844,513.6852,366.8802,512.8101,366.8802,干层
2278.1625,244.3953,8.7812,0.0833,75.809,110.8125,249.3222,7.687,8.0075,8.1194,7.4472,0.9663,15.4453,89.375,0.1199,171.893,8.6761,2.5386,9.475,78.9844,514.6107,367.7861,516.3571,367.7861,干层
2278.19375,243.8698,8.7812,0.089,77.2164,117.5,250.3392,7.6822,7.8037,7.4568,6.8332,0.9658,15.7578,89.375,0.1182,167.459,9.0496,2.5353,8.3328,78.4844,516.8314,369.1431,518.5663,369.1431,干层
2278.225,243.3443,8.7812,0.0935,78.3823,117.1875,250.7207,7.6484,7.6871,7.085,6.4988,0.9663,15.8984,89.375,0.1164,162.986,10.037,2.532,7.735,78.4844,519.4879,370.0644,521.2305,370.0644,干层
