Depth,CALS,DRHO,DT,GR,ILD,ILM,LLD,LLS,MRES,MSFL,MTEM,NPHI,PEF,RHOB,SFLU,SP,TT1,TT2,TT3,TT4,result
970.6932,9.1094,0.0279,96.2738,86.75,5.0835,5.1684,5.6377,5.439,0.8774,8.2812,41.9062,0.2845,3.8041,2.3027,5.8804,-34.1562,669.1857,472.6342,672.0752,469.7429,水层
970.744,9.1094,0.0284,96.4199,89.625,5.1538,5.1762,5.4325,5.2331,0.8784,8.2422,41.9062,0.2773,3.6142,2.3148,5.5833,-33.8125,669.2388,471.8771,671.3062,469.3981,水层
970.7948,9.0312,0.0286,96.9172,90.4375,5.2851,5.2812,5.3646,5.1426,0.8799,7.2317,41.9375,0.278,3.4039,2.3166,5.1385,-34.1875,668.4842,471.513,669.7101,468.2093,水层
970.8456,8.9531,0.0268,97.125,87.875,5.4197,5.3738,5.4921,5.2374,0.8784,7.0898,41.9375,0.2839,3.4047,2.3107,5.0906,-34.0312,667.3065,470.7414,668.5373,467.0446,水层
970.8964,8.9531,0.0226,97.125,82.8125,5.4876,5.4217,5.4522,5.263,0.877,7.6328,41.9062,0.2879,3.5696,2.3032,5.2411,-34.0312,666.5278,469.1692,666.9558,466.2633,水层
970.9472,8.9531,0.0156,96.8285,86.625,5.5518,5.5055,5.5129,5.3554,0.877,8.8111,41.9062,0.284,3.6495,2.3053,5.2537,-34.0625,665.3501,467.9804,666.1626,465.089,水层
970.998,8.9609,0.0105,94.5846,83.625,5.6831,5.6844,6.2915,5.9651,0.877,11.5469,41.9375,0.2831,3.762,2.315,5.2035,-34.375,664.1724,467.2136,664.1772,463.9099,水层
971.0488,8.9219,0.0121,86.9029,79.0625,5.8344,5.9883,7.1629,6.7655,0.877,15.5547,41.9688,0.2788,4.0256,2.3295,5.4647,-34.625,663.3889,466.442,662.6005,463.1527,水层
971.0996,8.9219,0.0114,81.0303,72.125,5.9509,6.3022,7.6546,7.1973,0.8774,20.0625,41.9688,0.2755,4.1605,2.3203,6.5248,-34.7188,662.2208,465.6752,661.7928,462.3811,水层
971.1504,8.8828,0.0058,81.7574,68.875,5.9291,6.4614,7.9883,7.5093,0.8779,17.75,41.9062,0.2896,4.0597,2.2787,7.7614,-34.8125,661.0237,464.0934,659.3939,461.6192,水层
971.2012,8.8281,0.0025,85.5936,71.1253,5.7504,6.388,7.3262,6.9716,0.8765,14.625,41.9062,0.3101,3.9844,2.2309,7.9753,-34.4685,659.4422,462.9142,658.1873,460.8573,水层
971.252,8.8516,0.0059,92.3811,71.8125,5.4574,6.1332,6.2763,5.9319,0.8765,12.9531,41.9375,0.3133,4.6423,2.2002,7.3345,-33.6562,658.6635,462.1475,656.197,459.6927,水层
